"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"CD36",5.78017,7.37028166666667,79.7213365049435,1.21303201079946e-16,2.28498839874295e-12,26.7557441296107
"DUSP6",-4.21268333333333,9.106625,-62.4346346670861,1.80932646235506e-15,1.32712287012113e-11,25.0070788643105
"DCT",5.63302666666667,8.76322,61.5625650239498,2.11358953674332e-15,1.32712287012113e-11,24.896199550432
"SPRY2",-3.80166333333333,9.72646833333333,-53.9518834470044,9.07892179182925e-15,4.27549124481719e-11,23.8057786667609
"MOXD1",3.26306333333333,10.171635,47.0789687753394,4.08393779300433e-14,1.30896317534891e-10,22.5917774821104
"ETV4",-3.84324666666667,9.66707666666667,-46.9907071707923,4.16933644003474e-14,1.30896317534891e-10,22.5744883443146
"ETV5",-4.07852,8.86754,-45.0656410737398,6.61263595047443e-14,1.77946033427267e-10,22.1853278677249
"ST6GALNAC2",3.87512,9.47800666666667,44.0330957566851,8.53754239781703e-14,2.01027107684599e-10,21.9666660305523
"DTL",-3.19328,10.5105933333333,-43.2715638200686,1.03473732015182e-13,2.16570521107775e-10,21.8007125365366
"NUPR1",3.03099666666667,9.59686833333333,41.3774802407665,1.69424571864976e-13,3.19145066022056e-10,21.36974351881
"LDLR",-3.05364333333333,10.650445,-40.3027808963265,2.26377184193007e-13,3.87660638058516e-10,21.1129949527345
"SPRY4",-3.75289,8.564955,-37.8556773413661,4.5105738143589e-13,7.08047324508988e-10,20.4924743332354
"FST",-3.58683,10.0773183333333,-37.3058954838054,5.29809861609149e-13,7.67694489471657e-10,20.3457395625342
"TXNIP",2.94854333333333,11.3127616666667,36.9795317145458,5.83564792193851e-13,7.85186427896827e-10,20.2572925502472
"CCND1",-2.48815666666667,10.616455,-36.4902952416686,6.75602694248052e-13,8.2025181933286e-10,20.1227902119735
"IER3",-2.64061,10.8155283333333,-36.3883105283288,6.96715459432275e-13,8.2025181933286e-10,20.0944582900858
"SERPINF1",3.10683,9.21985166666667,36.16808774643,7.44800027525607e-13,8.25282242264698e-10,20.0329284039873
"FAM111B",-3.70844,8.50741333333333,-34.3587185029256,1.30909251972716e-12,1.26313438818856e-09,19.5085535888275
"CD24",3.32253333333333,6.98094666666667,34.3486885020893,1.3132975468726e-12,1.26313438818856e-09,19.5055497623898
"RNF150",2.43434666666667,9.49022666666667,34.2831932120294,1.34112054805814e-12,1.26313438818856e-09,19.4859077724395
"SCRG1",2.58137666666667,7.49189833333333,34.1277621877136,1.40975394519041e-12,1.2645492888358e-09,19.4391045993505
"SESN3",2.80125333333333,8.40787666666667,33.93368039261,1.50087809731821e-12,1.28509275996287e-09,19.380285757838
"MR1",2.53182666666667,8.73486,33.4830945287696,1.73817109282151e-12,1.42356212502082e-09,19.2420913519857
"TGFA",-2.51893,9.914235,-33.0397292487386,2.01208199902494e-12,1.54920106635553e-09,19.1038302798973
"NT5E",-2.86284666666667,8.17669333333333,-32.9747097558032,2.0560612973875e-12,1.54920106635553e-09,19.0833606637291
"CEMIP",-3.33756,7.89746333333333,-32.7165774589021,2.24128310294894e-12,1.62380960808651e-09,19.0015990803658
"TRPM3",2.92491333333334,8.86901,32.490722367532,2.41830943540986e-12,1.65714045367227e-09,18.9294048299421
"SLCO4A1",-2.57027,9.70583166666667,-32.4254931831459,2.4722300193716e-12,1.65714045367227e-09,18.9084392459324
"ITGB3",-3.162,10.2595333333333,-32.3326991869079,2.55120630442723e-12,1.65714045367227e-09,18.8785243495041
"UBASH3B",-2.25201,9.67506166666667,-32.167302722965,2.69887602746648e-12,1.68150199637488e-09,18.8249413791333
"CCNE2",-2.60314333333333,9.777895,-32.0376298179929,2.82116469676127e-12,1.68150199637488e-09,18.7826947029262
"MCM10",-2.82644,9.09864666666667,-32.0012894272379,2.85650920443786e-12,1.68150199637488e-09,18.7708176173637
"IGFBP5",2.74943666666667,9.521815,31.8591001074294,2.99951042230363e-12,1.71217508560404e-09,18.7241869178036
"LSAMP",2.64957333333333,9.15964666666667,31.597780926195,3.28308773056433e-12,1.81892716413648e-09,18.6378211783548
"NOV",2.65835,10.1936583333333,30.9880508837802,4.06510761884333e-12,2.18784092046148e-09,18.4328815597366
"SLC20A1",-2.43890666666666,10.8567133333333,-30.8617555410466,4.25123587272752e-12,2.22445917040468e-09,18.3898206242626
"LCTL",2.20834,9.88816333333333,30.6291349742663,4.61882811975106e-12,2.35148284572299e-09,18.30994819226
"CDC25A",-2.54431,8.64988833333333,-30.4671667502417,4.89516932947926e-12,2.42658696472107e-09,18.2539021898799
"TLR4",-2.52759666666666,10.0262683333333,-30.3467964529636,5.11219614398611e-12,2.46919073754529e-09,18.2120178811528
"CLSPN",-2.96678,8.14402333333333,-30.1447172932026,5.5004843818677e-12,2.59031560753105e-09,18.1412519024658
"RRM2",-2.44366,10.3011033333333,-29.9342203598672,5.93937996399729e-12,2.60759954284432e-09,18.066931756052
"ANK3",2.39553,9.87996833333333,29.9340499669257,5.93975033212498e-12,2.60759954284432e-09,18.0668713426941
"AZGP1",2.07956333333333,9.21515166666667,29.9282026137341,5.95247546543005e-12,2.60759954284432e-09,18.0647978962391
"JUN",2.24402,9.64339,29.7756420574964,6.29520244024283e-12,2.6950620083376e-09,18.0105291259212
"PCDH10",2.06502333333333,10.3973216666667,29.4819544673348,7.01708059360183e-12,2.81643533445149e-09,17.9051202890213
"SNAI2",2.65778333333333,10.1099416666667,29.4513755264669,7.09727710658441e-12,2.81643533445149e-09,17.8940733546952
"ARHGEF37",2.13572,8.51249,29.3906052153153,7.25963322102636e-12,2.81643533445149e-09,17.8720790397856
"AOAH",1.98075666666667,6.85392166666667,29.3563181043533,7.35301762596051e-12,2.81643533445149e-09,17.8596458496145
"TCP11L2",2.63763,9.124585,29.3377784493232,7.40405661549377e-12,2.81643533445149e-09,17.8529158274627
"SFRP1",-2.10376666666667,9.86295,-29.2355327642307,7.692557796403e-12,2.81643533445149e-09,17.8157091940162
"SEMA3C",2.34096666666667,11.5575833333333,29.1969505372951,7.80458609008556e-12,2.81643533445149e-09,17.8016292793339
"CDCA5",-2.16880666666667,8.81451,-29.1391651663768,7.97571063416033e-12,2.81643533445149e-09,17.7805002857498
"AMIGO2",-2.71758,8.96217666666667,-29.1205764270817,8.03162440477456e-12,2.81643533445149e-09,17.7736928511383
"KIAA0040",-1.93776666666667,8.42691,-29.1066246282313,8.07387100177206e-12,2.81643533445149e-09,17.7685801481971
"MIR221",-2.50408333333333,8.556775,-28.6357885738316,9.65170108097433e-12,3.30561987749661e-09,17.5943249813996
"TRAK1",1.945,10.3174666666667,28.4527060062536,1.03534294083692e-11,3.48263481724018e-09,17.5256542943164
"FAM84B",-2.96484333333333,9.04787833333333,-28.3447697670876,1.07930365706578e-11,3.56681455932424e-09,17.4849262663592
"LRP1B",2.72054666666667,7.6432,28.2963232413184,1.09969264635433e-11,3.57153627230631e-09,17.4665866400485
"SH3TC2",-2.26067,8.56070833333333,-27.9181509590366,1.27404816106745e-11,4.06766867966570e-09,17.3221549626928
"RASGRP1",2.14128333333333,7.38064166666667,27.7877609784585,1.34096867238629e-11,4.15097317895676e-09,17.2718268054089
"AHNAK2",2.27282333333333,9.07352166666667,27.6982023410767,1.38914700379017e-11,4.15097317895676e-09,17.2370994364308
"HIST1H2BB",-2.13094666666667,9.54189333333333,-27.6739840734453,1.40249683659986e-11,4.15097317895676e-09,17.2276861189304
"SOX2",2.12812,10.7249066666667,27.6290843074305,1.42761807352182e-11,4.15097317895676e-09,17.2102088497071
"SCUBE3",2.54890666666667,9.02864666666667,27.6290183108615,1.42765535706613e-11,4.15097317895676e-09,17.2101831362331
"PRUNE2",3.83907,8.13838833333333,27.5827210261727,1.45407333512432e-11,4.15097317895676e-09,17.1921272838254
"SCG5",2.28570333333333,7.582185,27.5821644104982,1.45439417004378e-11,4.15097317895676e-09,17.1919099909513
"AREG",-2.38697666666667,7.52090166666667,-27.4315779006169,1.54409188587591e-11,4.32761909778498e-09,17.1329362700874
"TCN1",3.35767,9.21769833333333,27.4022791133641,1.56223442506439e-11,4.32761909778498e-09,17.1214185053782
"BMF",2.58473666666667,8.677175,27.2972805634981,1.62918377960892e-11,4.44767171833236e-09,17.0800247865536
"CDC45",-2.53834,9.07539666666667,-26.9986370438654,1.83729480248921e-11,4.9366961123773e-09,16.9612775795259
"HIST1H1B",-2.17700333333333,9.905265,-26.932728994501,1.88701999283093e-11,4.9366961123773e-09,16.9348671491505
"ADHFE1",2.50864,7.50329,26.9223887028886,1.89495350065838e-11,4.9366961123773e-09,16.9307168770139
"SH2D1B",-2.00620333333333,7.67665166666667,-26.8988574764617,1.9131433678587e-11,4.9366961123773e-09,16.9212653354269
"TUBA1A",1.82954333333334,10.769395,26.5885658709553,2.17164929765192e-11,5.52802132700936e-09,16.795738217266
"FOLR1",2.35078666666667,8.35724333333333,26.5370127845518,2.21817109291588e-11,5.57115851696753e-09,16.7747199525509
"CNTN1",2.15064333333333,7.364765,26.4120284500383,2.33552555951772e-11,5.78872302166253e-09,16.7235691012602
"LEMD1",2.26669,7.50466833333333,26.2674252328757,2.47980460113906e-11,5.99610248431036e-09,16.6640427773656
"SLC38A3",2.41571666666667,8.83771166666667,26.2522628478382,2.49548631563554e-11,5.99610248431036e-09,16.6577794797049
"IFITM10",2.22495666666667,9.411555,26.2338361336295,2.51468968657705e-11,5.99610248431036e-09,16.6501621921475
"TMEM198B",1.83550333333334,9.797715,26.1943666055435,2.55636651465628e-11,6.00922955432532e-09,16.6338256167383
"IFI44L",2.33428,7.43879666666667,26.1685834316096,2.58399741944233e-11,6.00922955432532e-09,16.6231387123826
"FAXDC2",2.07527,9.831665,26.0657700490891,2.69745731422778e-11,6.18392775849178e-09,16.5804038591644
"MEF2C",2.09176333333334,10.8464183333333,26.0417180808965,2.72477572837935e-11,6.18392775849178e-09,16.5703788513423
"RARB",2.20855333333334,7.53882666666667,26.0052699998187,2.76674961308266e-11,6.20443600733787e-09,16.5551669762175
"ADAMTS15",2.39675333333334,8.71940666666667,25.9245216885857,2.862269673851e-11,6.34312633486251e-09,16.5213795667895
"FAM198B",2.87326666666667,9.0666,25.7081287629622,3.136418386342e-11,6.86985036552608e-09,16.4302422056853
"LINC00518",2.91424333333333,7.39151833333333,25.6508177346868,3.21372666463241e-11,6.95827231973342e-09,16.4059590352219
"TENM3",1.70623333333333,11.11645,25.565537499188,3.33263072132694e-11,7.12360178679317e-09,16.3697111644942
"MRGPRX4",-2.93604,7.64473666666667,-25.5423941220874,3.36571937688906e-11,7.12360178679317e-09,16.3598506088011
"EXO1",-2.59799666666667,9.27866833333333,-25.4193209938688,3.54779695904994e-11,7.42553903529152e-09,16.307243448798
"SLC16A4",2.17810333333334,10.3620483333333,25.3517934655897,3.65223427052726e-11,7.48329376800793e-09,16.2782567382693
"PBX1",1.79427333333333,9.86229666666667,25.3501328755915,3.6548443311394e-11,7.48329376800793e-09,16.2775428204093
"TIMP3",-1.70393333333333,12.0049333333333,-25.2951762832079,3.74237956584842e-11,7.52838427606193e-09,16.2538861894269
"ZNF608",1.72727666666667,10.3962283333333,25.2862581727424,3.75679843897554e-11,7.52838427606193e-09,16.250041834269
"ATAD2",-1.95413,9.52230166666667,-24.8582415705705,4.52531673442237e-11,8.97298856066466e-09,16.0637208545541
"SH2B3",-1.78061666666667,10.097825,-24.8141700291613,4.61368840137883e-11,8.99181571700195e-09,16.0443317364129
"SEMA6A",2.06988333333333,8.37126833333333,24.8059974756952,4.63028149147523e-11,8.99181571700195e-09,16.0407320108326
"E2F7",-1.79003333333333,9.99631666666667,-24.7764859855055,4.69074305391731e-11,9.01627825577963e-09,16.0277221608113
"INPP5F",-1.89261,10.037295,-24.6832000226567,4.8875849740758e-11,9.28453208900348e-09,15.9864836254378
"NPAS2",-1.66656666666667,11.20655,-24.6641488155783,4.92888044221664e-11,9.28453208900348e-09,15.978040303104
"TFAP2C",-1.74120666666667,10.3026633333333,-24.53546958507,5.2179542413344e-11,9.73174297465506e-09,15.9208193192437
"ORC1",-1.9674,8.88892666666667,-24.4165150126237,5.50165744021092e-11,1.01602667844366e-08,15.867623981598
"GAS6-AS1",2.12461,8.520115,24.3291259545,5.7207696421179e-11,1.0374396038375e-08,15.8283600770714
"PDE5A",2.75988333333333,8.413825,24.3264002532492,5.72775488661144e-11,1.0374396038375e-08,15.8271328952732
"MAF",1.86719666666667,9.471235,24.2816898610689,5.84367107080745e-11,1.04835459010286e-08,15.8069812424652
"ANKFN1",2.09841333333334,7.65518666666667,24.2548319357124,5.91452914820472e-11,1.05105646759181e-08,15.7948561120172
"LOC100128288",1.93174,7.70911,24.1979913154669,6.0675936138874e-11,1.06818000845605e-08,15.7691458602668
"EPHA5",1.65984,6.93772666666667,24.1741352993381,6.1331150187395e-11,1.06971747785181e-08,15.7583352619255
"ZEB2",1.62776666666667,11.0345833333333,24.1188158232497,6.28803552233202e-11,1.08667637737769e-08,15.7332210119317
"ATL1",1.95508333333333,7.89282833333333,24.0408880819681,6.51354299210363e-11,1.09553675621725e-08,15.6977342575459
"THBS3",2.09510333333334,9.135815,24.0153731264674,6.58927966694733e-11,1.09553675621725e-08,15.6860875180151
"FYB1",2.32903333333334,6.95741,23.9984321288351,6.64009538325176e-11,1.09553675621725e-08,15.6783469286277
"FHDC1",2.02357333333334,8.63881666666667,23.9868456895374,6.67509532931683e-11,1.09553675621725e-08,15.6730494270198
"MCC",1.89417,9.15536833333333,23.9786291062739,6.70003742064853e-11,1.09553675621725e-08,15.6692909576721
"JAKMIP2",1.83659,8.31728166666667,23.9760693543402,6.70782846490261e-11,1.09553675621725e-08,15.6681197719957
"COL21A1",2.21653333333333,7.33535333333333,23.9634384880042,6.74641735526891e-11,1.09553675621725e-08,15.6623386322866
"ANKRD44",1.8665,8.69077333333333,23.8215208700477,7.19700559526376e-11,1.15871790083747e-08,15.5971501689366
"MGP",3.01300666666667,10.3797633333333,23.7449344149271,7.45369664128216e-11,1.18987528501553e-08,15.5617922356205
"SELENOP",2.86302,6.12994333333333,23.6152189121548,7.91148736547901e-11,1.25234191179435e-08,15.5016177555312
"PDZRN3",1.60298,9.14411666666667,23.509393628465,8.30765970307101e-11,1.30409488188957e-08,15.4522552061649
"SLAIN1",1.81324,9.70678,23.3447826376599,8.96748978088729e-11,1.39603805787251e-08,15.3749835820329
"POLE2",-2.22983666666667,8.77155166666667,-23.2728548422923,9.27353393034349e-11,1.42342424131214e-08,15.341031011401
"PHC2",-1.59267,9.67933166666667,-23.2610515065998,9.32483293664845e-11,1.42342424131214e-08,15.3354483967515
"ZNF536",3.0457,9.06948333333333,23.2506942214272,9.37010171060706e-11,1.42342424131214e-08,15.3305471575058
"CYB5R2",-2.4491,8.50832666666667,-23.0661588787075,1.02180901549623e-10,1.5398253139922e-08,15.2428183815398
"ERV3-1",1.84754333333333,10.261295,23.0385572142475,1.03519557029286e-10,1.54761737758783e-08,15.2296303635883
"KAT2B",1.8246,11.2138666666667,23.0027305222911,1.05285665987473e-10,1.56162684268191e-08,15.2124866321633
"TBL1X",-1.55590666666667,10.0683133333333,-22.9768991990841,1.06579386008506e-10,1.56846554237675e-08,15.2001077352108
"DDIAS",-2.60847333333333,8.45971666666667,-22.9386058612931,1.08529194442793e-10,1.58477863234022e-08,15.181728756972
"GINS1",-1.70266,10.48107,-22.7795447536753,1.17054063778052e-10,1.68517613452308e-08,15.1050265837133
"TINAGL1",-1.84138666666667,9.70130666666667,-22.7770425741767,1.17193859756078e-10,1.68517613452308e-08,15.103815321296
"HIST1H2AB",-1.71594666666667,8.82763666666667,-22.7022881565123,1.21455337094195e-10,1.73322286730557e-08,15.0675609149899
"DUSP4",-1.71577333333333,9.60328,-22.6540457556375,1.24294845921089e-10,1.75264754038184e-08,15.0440951753414
"ROR1",-1.92956333333333,8.509485,-22.6476385224048,1.24677374534781e-10,1.75264754038184e-08,15.0409745190561
"SLC5A12",1.71844,8.35067,22.6157149548709,1.26602490030886e-10,1.76652674423096e-08,15.0254117408224
"UHRF1",-2.14532666666667,10.35107,-22.5573261630215,1.30207804619537e-10,1.7840057790624e-08,14.9968851865305
"BEST1",2.68249333333334,8.07504333333333,22.5501362934928,1.3065942738665e-10,1.7840057790624e-08,14.9933669351523
"MAD2L1",-1.69073666666666,9.95573166666667,-22.5482070455494,1.30780900641073e-10,1.7840057790624e-08,14.9924226799555
"PLP1",1.82343333333333,12.1087833333333,22.5345635093362,1.31643469389857e-10,1.7840057790624e-08,14.9857424503714
"SERPIND1",-1.81724666666667,7.03575333333333,-22.5066489537316,1.33427636390125e-10,1.78724030303311e-08,14.9720610478292
"PCDH20",2.62033666666667,7.56621833333333,22.5011881656521,1.33779732827769e-10,1.78724030303311e-08,14.9693824650982
"MGAM2",1.66549666666667,9.55695166666667,22.4795965856153,1.35181835026636e-10,1.79325368056109e-08,14.9587846110663
"MVP",1.50318666666666,9.11949333333333,22.3274852059277,1.45524720240071e-10,1.91695745116239e-08,14.8838087393029
"SATB1",1.75500666666667,9.09137333333333,22.3110935826583,1.46689690303904e-10,1.91888451128794e-08,14.8756962333847
"MCM7",-1.6275,10.9657833333333,-22.2604568550551,1.50353075615386e-10,1.94263224712371e-08,14.8505943578832
"EVI2B",-2.39297,6.973025,-22.2575324836495,1.5056766368321e-10,1.94263224712371e-08,14.8491427857337
"CLIP4",1.84191333333333,10.6633433333333,22.1856073766383,1.55951805801638e-10,1.99841099720099e-08,14.8133761263961
"JHY",1.56958,8.42044666666667,22.1360935838736,1.59779926740922e-10,2.03363140541808e-08,14.7886810796343
"TGM2",-1.6166,11.4481,-22.106295720876,1.62132939339895e-10,2.04862926642851e-08,14.773790559078
"FOSL2",1.63663,10.144785,22.0937684604399,1.63133402327481e-10,2.04862926642851e-08,14.7675239851437
