"","logFC","P.Value","logFC","FDR","log2FoldChange","padj"
"ENSG00000116001",-0.599358310516558,3.13361520964298e-08,0.521651548053023,0.00862191030324568,-0.505524740609764,2.5555022140853e-11
"ENSG00000183044",1.13975598719424,1.21544494925026e-07,-1.14097340608562,1.96195831958783e-09,1.15804232995104,8.02489454883134e-30
"ENSG00000134686",1.26817032900732,2.01905195487615e-07,-1.37065281773736,2.78693354514545e-15,1.38714097803914,3.73947269138371e-48
"ENSG00000131871",0.618810894934242,5.46713528854074e-07,-0.66990164117046,0.0007433468106872,0.686018714420766,1.27711784992837e-15
"ENSG00000102226",-0.292859278828807,5.08831090200681e-07,0.21795542376,0.473795894215524,-0.200875005100924,0.0172706329097847
"ENSG00000158246",2.41188214535029,1.14184476937363e-06,-2.31520327417901,2.62769336928638e-10,2.33452775077325,2.37461272396048e-21
"ENSG00000116584",-1.12527597706578,5.65027660358265e-07,1.03251826726169,1.54141053138124e-09,-1.01451699333402,8.35785880897349e-32
"ENSG00000149792",-0.579372717591389,7.89055476309326e-07,0.557698065233153,0.00989835192293244,-0.539521062008315,8.78332245548564e-09
"ENSG00000179593",7.99177622292026,2.70367389353118e-06,-10.0997361714859,2.73255816150459e-30,9.60973810157967,2.50361761391497e-16
"ENSG00000148175",1.29054318463656,1.10578208657326e-06,-1.43444434302758,3.26451510331168e-13,1.45146587997406,1.13613799474518e-61
"ENSG00000196517",-2.1669611960826,2.42654201739677e-06,2.23922992689389,8.40394419463286e-19,-2.21693468185748,3.49056759753366e-37
"ENSG00000152495",-1.22893444340934,3.63920066925382e-06,1.33756437667479,0.00029926684074919,-1.32526001456644,5.93456678955596e-09
"ENSG00000152583",4.56766097729152,3.10186992447433e-06,-4.58333634467363,2.00229853074255e-80,4.60252567692759,1.83911321587149e-100
"ENSG00000172831",-0.628413077685577,2.29208834100402e-06,0.557121435488084,0.00629620410249871,-0.540905342748863,5.91661534684021e-10
"ENSG00000178695",-2.61190439513496,2.42843154394778e-06,2.51657674994847,8.97036388870976e-34,-2.4999126498667,4.8255700106096e-41
"ENSG00000155827",-0.444827772392711,2.50908405635971e-06,0.371373660388928,0.119411808778594,-0.355238996590323,6.61633971415117e-05
"ENSG00000144369",-1.42331642679917,3.23940503089957e-06,1.3666366778668,5.56973425576007e-14,-1.35032372283274,2.88385240727521e-28
"ENSG00000197321",-0.643223585071484,2.57699693637929e-06,0.527977852259708,0.0223933284377418,-0.511007590623514,3.87849576678759e-09
"ENSG00000079462",-0.941610250365262,6.63087601690435e-06,1.04934614297012,0.011131236958615,-1.03319817134245,1.93916007438197e-05
"ENSG00000179094",3.17341987143385,4.28093269081121e-06,-3.16698629962781,7.67173794031147e-42,3.18385728117598,1.94160804826259e-52
"ENSG00000042286",0.674437247148782,3.89607669863377e-06,-0.688769580658758,0.000850910497374911,0.707631136086693,2.87742618183304e-12
"ENSG00000105516",-1.59962896097452,7.25779931020482e-06,1.65942198655391,1.48888967837745e-06,-1.65520538971996,6.73355309883074e-14
"ENSG00000162616",1.43130273133445,3.99067976604768e-06,-1.50424460606822,1.04917287793506e-16,1.5209391659365,8.35785880897349e-32
"ENSG00000114745",0.481785675546012,4.59123877266894e-06,-0.534804660641489,0.00781959943367097,0.551894773590527,1.33058480406447e-10
"ENSG00000168917",0.83285325258844,6.09469596679472e-06,-0.793142398260093,0.00253536676583103,0.807393013558763,2.62897778413216e-09
"ENSG00000183160",-1.28577027402958,4.14960636412921e-06,1.18681309268599,1.15434591669461e-10,-1.16914762377728,9.82218474203627e-23
"ENSG00000113456",0.75524183001416,4.85588729507056e-06,-0.81382502226047,1.334125898165e-05,0.830115293648103,1.38607769007701e-16
"ENSG00000125148",2.09813069557174,4.36255867372407e-06,-2.18621229445572,1.04329093220249e-28,2.20343864531793,5.98475908441505e-47
"ENSG00000181467",-1.30186925341535,5.55659731992154e-06,1.28955839421302,1.58553267106539e-11,-1.27247507719429,3.59209657400101e-24
"ENSG00000100354",-0.412438326920189,5.72931950327589e-06,0.360626369096703,0.1379094997601,-0.342537380350049,0.000363059778460209
"ENSG00000100116",0.848354080331445,8.78651789537863e-06,-0.752517532351487,0.0313757530988336,0.771629673030402,1.81519827761226e-05
"ENSG00000136877",0.560536543678916,5.69016100294118e-06,-0.619402844583463,0.00116359623623921,0.635328656609874,7.04326452038676e-13
"ENSG00000120526",0.662570758403737,7.59374885354136e-06,-0.609112477491122,0.0321057711782407,0.629893495973264,4.59337887715219e-06
"ENSG00000139289",-1.09298171241504,5.39563409658434e-06,1.0089350503652,5.56426273427322e-09,-0.991154139443607,2.83255470789475e-21
"ENSG00000189221",3.27305613349087,5.95706913467005e-06,-3.28822728829259,1.75800657994757e-42,3.30520054774632,3.75367911947431e-44
"ENSG00000122877",-2.86488919335702,1.9087482078976e-05,3.05013982095165,3.2366851368126e-07,-3.07660944159166,5.98814210233232e-08
"ENSG00000196152",-0.72443855360103,9.50963942397582e-06,0.816784628682194,0.00994888473938577,-0.797757670151588,2.1479690560506e-06
"ENSG00000198663",-0.330064381717439,5.16715731015288e-06,0.206962923078408,0.557952120881425,-0.18984100918989,0.0525099510668884
