"","value","group","gsm"
"GSM282373",37.3,"low","GSM282373"
"GSM282374",1199,"high","GSM282374"
"GSM282375",759.7,"high","GSM282375"
"GSM282376",49,"low","GSM282376"
"GSM282377",729.9,"high","GSM282377"
"GSM282378",1071,"high","GSM282378"
"GSM282379",623.3,"low","GSM282379"
"GSM282380",707.8,"high","GSM282380"
"GSM282381",1016,"high","GSM282381"
"GSM282382",999.9,"high","GSM282382"
"GSM282383",574.8,"low","GSM282383"
"GSM282384",632.1,"low","GSM282384"
"GSM282385",319.3,"low","GSM282385"
"GSM282386",305.1,"low","GSM282386"
"GSM282387",878.4,"high","GSM282387"
"GSM282388",380.8,"low","GSM282388"
"GSM282389",736.9,"high","GSM282389"
"GSM282390",1164,"high","GSM282390"
"GSM282391",688.1,"high","GSM282391"
"GSM282392",406.9,"low","GSM282392"
"GSM282393",743.8,"high","GSM282393"
"GSM282394",274.7,"low","GSM282394"
"GSM282395",690.3,"high","GSM282395"
"GSM282396",231.9,"low","GSM282396"
"GSM282397",242.8,"low","GSM282397"
"GSM282398",206.1,"low","GSM282398"
"GSM282399",475.5,"low","GSM282399"
"GSM282400",849.7,"high","GSM282400"
"GSM282401",961.8,"high","GSM282401"
"GSM282402",599.3,"low","GSM282402"
"GSM282403",308.2,"low","GSM282403"
"GSM282404",521.9,"low","GSM282404"
"GSM282405",763.5,"high","GSM282405"
"GSM282406",538.8,"low","GSM282406"
"GSM282407",677.8,"high","GSM282407"
"GSM282408",444.1,"low","GSM282408"
"GSM282409",444.9,"low","GSM282409"
"GSM282410",493.4,"low","GSM282410"
"GSM282411",639.2,"high","GSM282411"
"GSM282412",325,"low","GSM282412"
"GSM282413",772.8,"high","GSM282413"
"GSM282414",569.3,"low","GSM282414"
"GSM282415",586,"low","GSM282415"
"GSM282416",744.3,"high","GSM282416"
"GSM282417",236.1,"low","GSM282417"
"GSM282418",1265,"high","GSM282418"
"GSM282419",609.6,"low","GSM282419"
"GSM282420",693.6,"high","GSM282420"
"GSM282421",875.8,"high","GSM282421"
"GSM282422",585.4,"low","GSM282422"
