"","logFC","AveExpr","t","P.Value","adj.P.Val","B","change"
"Gm600",1.88472009738576,6.64976374092836,11.1833492410711,1.72388471697066e-05,0.226472302152091,-0.0582551784896221,"UP"
"Grid1",3.57282184488573,4.9777246149525,11.0690320143117,1.83772712421058e-05,0.226472302152091,-0.0703436491282465,"UP"
"Srgap3",-2.03039415198961,6.27344193269567,-9.08424279154197,6.20729543973431e-05,0.302562637564446,-0.340825055172632,"DOWN"
"Sult2a7",4.04021032456519,7.45122508037788,8.86926864321223,7.18042720941797e-05,0.302562637564446,-0.37877972207842,"UP"
"1700001J03Rik",1.59392099766678,3.68980309040115,8.8561601212937,7.24519092797363e-05,0.302562637564446,-0.381161944595954,"UP"
"Sult2a2",3.81200463545637,5.4129159874953,8.83215973608967,7.36550422114933e-05,0.302562637564446,-0.385544302264059,"UP"
"Tc2n",-1.93267606393975,6.37274156604957,-8.3975590309025,9.99327137587784e-05,0.351863085144659,-0.469781531109129,"DOWN"
"Cyp2d12",5.10214340292269,7.70910111924301,8.15523270773051,0.000119166299266901,0.359895069687124,-0.521078420523727,"UP"
"Fam13a",-1.35368648869702,7.62439603231156,-7.84887004536861,0.00014982683486849,0.359895069687124,-0.590852701853599,"DOWN"
"9030619P08Rik",2.34039497490349,9.00007357204386,7.83483732469857,0.00015143331877783,0.359895069687124,-0.594188428808978,"UP"
"Tmem181a",1.39314649466938,7.84729725742365,7.7577053252431,0.000160621810628408,0.359895069687124,-0.612751601027465,"UP"
"BC031361",-1.05363877807089,5.64825240843655,-7.39303609938613,0.000213637473987987,0.41094102388138,-0.706007322293156,"DOWN"
"Lsr",1.02353176543162,10.2348709796744,7.34067354354079,0.000222778109681317,0.41094102388138,-0.720182976326356,"UP"
"Tceal1",1.2327766468873,6.06840842901427,7.28269166594766,0.000233422904789196,0.41094102388138,-0.736121976205952,"UP"
"Orm3",3.41091702993765,8.18222328420012,6.93694454343143,0.000310304770590333,0.458159320826249,-0.836717984346238,"UP"
"Ppapdc3",1.06145011062525,6.62159867771791,6.92286333705116,0.000313998338499324,0.458159320826249,-0.841025780882307,"UP"
"Olfm3",-1.60778397990673,7.3210753342015,-6.90076028606901,0.000319897239161417,0.458159320826249,-0.847822335689478,"DOWN"
"Apcs",0.815035817379099,11.1969776419235,6.81212654108057,0.000344850291005633,0.458159320826249,-0.875507996345558,"UP"
"Ly6f",2.13580101784302,6.84761962295423,6.75808954515735,0.000361145252523514,0.458159320826249,-0.892731900482167,"UP"
"Fam81a",1.72135604263222,6.54616134799197,6.72430385353808,0.000371776947154825,0.458159320826249,-0.903636139434745,"UP"
"Snhg6",-0.922740872212996,7.01807115557797,-6.66308632947314,0.000391958532365331,0.460028664152777,-0.923663416782153,"DOWN"
"Apba2",2.12376838606572,6.43819648566177,6.35357163362409,0.000515075339789999,0.577048268172914,-1.03047668359434,"UP"
"Fhit",-0.705533570935819,8.00953345976147,-6.28337473190877,0.00054876543505675,0.579268191632226,-1.05605468482699,"DOWN"
"2210417A02Rik",-1.07009156729662,6.79496976094398,-6.16705656426591,0.000610231573541812,0.579268191632226,-1.0995990670941,"DOWN"
"Vmn1r223",1.66091793904056,1.63236008316763,6.16441852812173,0.000611713254490078,0.579268191632226,-1.1006037638878,"UP"
"Pard3b",-0.726149060739007,6.22764001117951,-6.12942488836031,0.000631757891229119,0.579268191632226,-1.11400417500773,"DOWN"
"Olfr493",-2.45757012575288,1.67489372457823,-6.12214731864301,0.000636019262531519,0.579268191632226,-1.11680818827952,"DOWN"
"Cyp2u1",0.77512562140344,10.7412324726313,6.03252426787697,0.000691253366132985,0.579268191632226,-1.15183051425463,"UP"
"Csad",-1.18917566689,9.96657391004877,-6.03149023756056,0.000691921527946982,0.579268191632226,-1.15223994069338,"DOWN"
"Ncam2",-0.970487067639813,7.7720073596832,-5.96356280536426,0.000737456621070879,0.579268191632226,-1.17940800753001,"DOWN"
"Smyd2",-0.760550045182521,8.55086026032151,-5.91121325734988,0.000774864748634617,0.579268191632226,-1.20071594164245,"DOWN"
"B230217O12Rik",-0.932095269617289,4.98099319849604,-5.88342274276972,0.000795591499628817,0.579268191632226,-1.21216059888205,"DOWN"
"Upp2",-1.43094802703736,9.59047363239226,-5.87732282485424,0.000800224312016521,0.579268191632226,-1.21468511927358,"DOWN"
"Mir1186b",0.68701185126345,6.59409678452788,5.8523985668309,0.000819473164485546,0.579268191632226,-1.22504719471395,"NOT"
"Asns",-2.48941979214981,7.59445382169861,-5.84842441924125,0.000822590445373795,0.579268191632226,-1.22670640629556,"DOWN"
"Mir4660",1.94105492978432,1.32271764597133,5.77672726475663,0.000881193272833307,0.600353255102366,-1.25697367869154,"UP"
"Olfr1102",-1.01682139590728,2.6495283021433,-5.7534193281103,0.000901248445603421,0.600353255102366,-1.26695078789979,"DOWN"
"Olfr933",1.19253989354134,3.0604435742122,5.70769260398259,0.000942108112556178,0.610475206383879,-1.28672334681211,"UP"
"Gm11517",-1.69879074152674,2.52974474843968,-5.63508455442801,0.00101135385941856,0.610475206383879,-1.31866895617775,"DOWN"
"1600002H07Rik",-0.982806789756559,8.93482883866414,-5.62654223837548,0.00101987138463703,0.610475206383879,-1.32247224524575,"DOWN"
"Ush2a",0.77460119122484,4.26788878540478,5.5826259050428,0.00106495676999717,0.610475206383879,-1.3421761851737,"UP"
"Vmn1r235",1.12573073486244,2.63464156152728,5.58242042296146,0.00106517293520232,0.610475206383879,-1.34226897661294,"UP"
"Slc22a12",1.02486764152608,6.61414237191099,5.56344599899434,0.00108534857949368,0.610475206383879,-1.35086158075676,"UP"
"Nucb2",1.23379315546801,7.1387421834149,5.55929024281483,0.00108982468782775,0.610475206383879,-1.35274991606681,"UP"
"Bhlhb9",0.703295041727654,5.73186952849928,5.52127156854362,0.00113175363648766,0.619874041744697,-1.3701325297509,"UP"
"Nat8",0.887026353820159,8.45012531559858,5.49511094752238,0.00116165999393339,0.622422475445138,-1.38220661283972,"UP"
"Olfr715",1.48929401439683,0.986093365004069,5.46010375249564,0.00120308151579529,0.630901066378863,-1.39850940881706,"UP"
"Prl2c5",-0.978202019606682,2.53900576343821,-5.36142133520605,0.00132908065261742,0.682455225938783,-1.44537755493819,"DOWN"
"Scara5",1.16242436280211,7.26920208685067,5.28363318102908,0.00143890395805586,0.723768690902099,-1.48329081736777,"UP"
"Spns3",0.785203997106315,6.64308240389478,5.16695687648708,0.0016232800788117,0.766093052588838,-1.54180454117361,"UP"
"Tmem25",-0.70585109727833,8.93374890701877,-5.11586904449942,0.00171224910038868,0.766093052588838,-1.56806194059423,"DOWN"
"Col4a5",0.65348803222213,5.96611123921749,5.1130146376554,0.00171737911416507,0.766093052588838,-1.56954062749559,"NOT"
"1500011B03Rik",0.776300815146652,5.50305196981119,5.04006238657755,0.00185452712815481,0.766093052588838,-1.60775478045119,"UP"
"Vmn1r204",0.733396241318085,2.1033284435507,5.02714410158139,0.0018800713989237,0.766093052588838,-1.61460706989219,"UP"
"Lekr1",0.620630265173147,3.82045164897528,5.01084898464253,0.00191285723896178,0.766093052588838,-1.6232875220185,"NOT"
"Vmn1r18",1.52633102617412,2.19616856746803,5.0034685691421,0.00192791712786533,0.766093052588838,-1.62723270698315,"UP"
"Hoxa5",0.677970096400445,4.68465254584803,4.968042441301,0.00200207922406848,0.766093052588838,-1.64628847742919,"NOT"
"Pglyrp1",1.35615793696612,6.77370100529981,4.9658092328393,0.0020068603022772,0.766093052588838,-1.6474963393145,"UP"
"Gm15408",-1.13311167298133,6.67236752079884,-4.95479118509269,0.00203063684835781,0.766093052588838,-1.65346713813947,"DOWN"
"Slfn4",0.593896657437435,4.36434308325748,4.94400976981983,0.00205420858664409,0.766093052588838,-1.65932831005154,"NOT"
"1810019D21Rik",-0.587564012796029,7.68073855500148,-4.93121669026475,0.00208257694175324,0.766093052588838,-1.66630704523447,"NOT"
