Probe	BH.Q	ADJ.P	PER	LAG	AMP	ZT0_rep1	ZT0_rep2	ZT4_rep1	ZT4_rep2	ZT8_rep1	ZT8_rep2	ZT12_rep1	ZT12_rep2	ZT16_rep1	ZT16_rep2	ZT20_rep1	ZT20_rep2	ZT24_rep1	ZT24_rep2	ZT28_rep1	ZT28_rep2	ZT32_rep1	ZT32_rep2	ZT36_rep1	ZT36_rep2	ZT40_rep1	ZT40_rep2	ZT44_rep1	ZT44_rep2	ZT48_rep1	ZT48_rep2
Ag.X.110.1_CDS_a_at	2.74312541175451e-13	1.09725016470181e-15	24	2	0.798146779264316	9.8	9.645	9.421	9.337	8.635	8.633	7.747	7.948	8.104	8.075	8.938	8.826	9.699	9.736	9.293	9.217	8.589	8.522	7.857	7.817	8.072	8.129	8.859	8.923	9.778	9.81
Ag.X.110.0_UTR_a_at	6.0913971189804e-12	4.87311769518432e-14	24	2	0.682711597235611	10.11	10.347	9.953	9.941	9.201	9.308	8.613	8.8	8.949	8.982	9.766	9.596	10.368	10.092	9.815	9.797	9.223	9.247	8.554	8.659	8.752	9.126	9.552	9.617	10.459	10.27
Ag.X.89.0_CDS_a_at	9.65648302886293e-11	1.15877796346355e-12	24	12	1.00833426997202	8.873	9.083	11.799	11.862	12.519	12.517	12.56	12.656	12.31	12.394	10.996	11.087	9.009	9.214	11.9	11.923	12.576	12.665	12.473	12.555	12.299	12.336	11.097	11.109	9.061	9.49
Ag.X.158.0_CDS_at	6.11187350089488e-08	9.7789976014318e-10	24	22	0.599626550446192	7.9	8.167	7.339	7.554	6.784	6.944	6.958	7.211	7.782	7.699	8.441	8.448	7.363	7.675	7.113	7.207	6.526	6.522	7.263	7.387	7.273	7.631	8.456	8.572	7.6	7.761
Ag.X.28.0_CDS_a_at	1.11985388491337e-06	2.68764932379208e-08	24	14	1.37885822331377	6.481	6.763	7.033	7.395	8.338	8.453	9.582	9.586	9.421	9.547	8.352	8.52	5.958	5.984	6.942	7.531	8.008	8.231	9.532	9.682	9.979	10.034	8.106	8.365	5.619	6.204
Ag.X.7.0_CDS_at	1.11985388491337e-06	2.68764932379208e-08	24	4	0.968382736834976	10.301	10.541	10.27	10.323	9.843	9.889	8.727	8.948	7.143	7.361	9.278	9.331	10.503	10.733	9.986	10.016	9.906	10.008	8.835	9.037	6.75	7.156	9.35	9.438	10.763	10.852
Ag.X.16.0_CDS_a_at	1.47357488045247e-06	4.12600966526691e-08	24	2	0.322794245611659	7.551	7.675	7.192	7.376	7.094	6.982	6.765	6.785	6.851	6.799	7.061	7.245	7.374	7.424	7.077	7.317	6.972	7.043	6.856	6.783	6.526	6.803	7.144	7.323	7.261	7.7
Ag.X.122.0_CDS_a_at	1.62471289103317e-06	5.19908125130616e-08	24	2	0.378655681325396	8.554	8.527	8.183	8.323	7.864	7.943	7.702	7.583	7.485	7.575	7.722	7.872	8.449	8.634	8.449	8.441	8.026	8.096	7.456	7.505	7.475	7.79	7.949	7.88	8.526	8.895
Ag.X.171.0_CDS_a_at	2.18291968410089e-06	7.85851086276321e-08	24	0	0.235113004744527	7.659	7.421	6.97	7.085	6.717	6.812	6.746	6.736	6.738	6.948	6.973	7.341	7.126	7.402	6.97	6.954	6.745	6.956	6.742	6.819	6.752	6.848	7.062	7.07	7.035	7.228
Ag.X.16.0_UTR_a_at	2.36121722204525e-06	9.44486888818101e-08	24	2	0.352492730421495	9.413	9.297	8.778	8.775	8.774	8.657	8.235	8.432	8.228	8.081	8.52	8.738	8.835	9.046	8.732	8.69	8.503	8.48	8.094	8.168	8.092	8.216	8.536	8.708	8.829	9.01
