Names	BH.Q	ADJ.P	PER	LAG	AMP	CT18	CT20	CT22	CT24	CT26	CT28	CT30	CT32	CT34	CT36	CT38	CT40	CT42	CT44	CT46	CT48	CT50	CT52	CT54	CT56	CT58	CT60	CT62	CT64
1415904_at	2.92523235370854e-05	1.17009294148341e-07	24	10	5035.94378493247	7924.3	9321.9	13466.6	15809.4	21364.7	NA	14053.2	NA	14082.9	9258.8	8303.9	6213.2	8006.3	8520.9	13240.1	15642.8	22256.6	16833.7	17082.3	12019.6	11227	8511.8	5198.4	8405.5
1415796_at	0.000224323392431275	1.7945871394502e-06	22	13	5208.19499682952	41285.8	41704.7	45942.5	43944	46115	NA	51438.5	NA	48404.6	46231.2	43597.3	36750.7	37394.5	41564.1	45794.2	46753.5	48549.1	53177.4	54359.2	52148	46945	40542.3	34021	36845.4
1415678_at	0.00228569829194045	2.82539771830838e-05	24	18	2566.79761570717	12132.3	12976.3	11746.3	11203.4	11791.3	NA	14130.5	NA	16606.3	16905	16454.2	12152.3	11024.7	12508.1	11165	10858.3	10882.5	13220.6	13816.4	16225	14951.8	19533.7	15438.6	12366.2
1415749_a_at	0.00228569829194045	4.27652032628296e-05	20	18	668.286618899406	8465.3	8158.3	7745.1	7098.3	7743.6	NA	7805.8	NA	8648.4	10045.1	8010.6	7854.7	7995.6	7659.1	6031.8	6434.9	7330.4	8484.1	7919.9	8904.9	8343.6	8029	6366.5	6106.7
1415771_at	0.00228569829194045	6.39995521743327e-05	24	19	2236.72017024929	18716.4	19446.6	18361.4	16881.2	20658.9	NA	18402	NA	22162.4	21912.7	24786.6	20402.5	20340.3	20270.3	17667.3	15565.2	16843.9	18208.3	22320.4	20748.8	23960.8	34453.3	21275.4	19852.6
1415817_s_at	0.00228569829194045	6.39995521743327e-05	26	0	2171.10066095518	18866.4	20181.6	18480.9	13788.8	15653.9	NA	15540.7	NA	13764.8	15660.8	15986.6	18639.4	21923.5	18129.7	17081.2	15123.5	15809.5	14724.7	14692.3	13513.3	14048.8	14232.6	17152.2	16428.2
1415718_at	0.00228569829194045	6.39995521743327e-05	24	16	860.124688635317	4430.9	4639.6	4436.6	4336.2	4681	NA	5352.1	NA	6199.5	5603.3	5429.9	4965.1	5020.7	4344.9	3988.4	5003.9	5254.5	6081.1	5941.3	5883.7	6015.3	6247.6	7065.7	5255.8
1415816_at	0.00433745748740953	0.000138798639597105	22	3	1554.09696136132	12629.6	14599.8	13982.2	11579.8	13645.8	NA	10085.3	NA	10378.4	10553.7	11316.9	11861.9	13574.5	13594.2	11374	10561.9	12042	10312.3	9454.5	9743	10237.5	12419.2	13170	12418.4
1415802_at	0.00657263129047088	0.000289195776780719	26	4	5966.67308566927	26388.5	27430.9	29523.8	27692.8	28394.2	NA	21998.4	NA	13768.3	16489.7	15710.4	25442.4	25331.9	22487.4	21207.3	27433.3	31505.9	23568.8	22851.3	13688.9	14958.4	12318.3	13939.5	18737.3
1415700_a_at	0.00657263129047088	0.000289195776780719	22	4	3739.37511327929	48499.9	49583.8	50437	48816.5	51281.2	NA	42501.7	NA	39303.8	44198.2	44546.8	48627	52382.2	52337.7	47891	44120.3	49448.4	43244.3	48135.7	41724	43853.3	47303.3	48369.2	51480.6
1415673_at	0.00657263129047088	0.000289195776780719	26	2	622.536810156636	3117.3	3964.2	3379	2460.3	2853	NA	2488.9	NA	2064.8	2168.1	2527.7	3260.2	3644.6	3698.8	3021	2720.9	2614.7	2721.5	2708.4	2133.3	1969.8	1803.3	2659	3423.3
1415827_a_at	0.0120964564844958	0.000580629911255796	22	3	9179.51881200752	67732.2	82364.1	63811.7	71652	72044	NA	58073.3	NA	58358.2	59082.2	69091.3	75989.7	86887.4	76888.7	72967.8	63649.3	75889.9	60949.6	59546.6	54730.4	60438.3	73588	84196.9	86934.6
1415731_at	0.0156162282675189	0.000812043869910981	20	0	134.208867069207	1301	1083.2	1025.2	922	1001	NA	726.7	NA	1043.6	1046.7	1243.6	1012.2	1024.7	868.7	868	811.2	819.5	853.8	885.8	1047.1	929.5	973.1	873.5	949.2
1415840_at	0.0201124830497467	0.00112629905078582	26	8	25569.529215461	113649.3	96143.6	114943.6	96965.7	131010.7	NA	92518.8	NA	73354.9	64549.6	53996.2	61128.5	68057.4	96792.9	82124.2	115875.5	79711.1	117621.8	92303.7	93691.9	84220.7	42944.8	28026.9	30679.2
1415909_at	0.0258281663946734	0.0015496899836804	26	0	1742.29343117412	7259.6	5924.8	4032	3828.9	5038.2	NA	2955.9	NA	2847.6	3191.1	5478.1	7520	8605.1	5438.8	2998.1	4023.5	5777.8	3246.8	3416.4	2058.2	2959.6	2977.3	4389.8	3902.9
1415776_at	0.0311142687635695	0.00211577027592273	20	18	5382.28468635765	35777.2	33258.8	26819.5	21942.3	21632.3	NA	29567.4	NA	37413.4	36899.2	34761.1	30129.8	28573.8	29862	24205.9	28776.1	21459.8	30596.4	25187	33276.2	30959.1	32365.4	25271.6	23119.3
1415821_at	0.0311142687635695	0.00211577027592273	26	20	1532.35342783984	12258.5	10992.3	11715.7	10950.8	9226.5	NA	11924.5	NA	12183.8	13825.1	15133	12813.9	13890.5	13260.1	13035.4	11414.6	12533.1	10910.6	13346.6	13577.8	14387.6	15476.6	14011.9	16247.6
1415893_at	0.0377242269424799	0.00286704124762848	28	2	203.151778234895	1688.3	2075.2	1631.1	1317.3	922.1	NA	1504.5	NA	729	1066.4	863.3	1520.8	1183.2	1319.6	1111.7	1391.7	1403.7	1569.5	1573.7	899.1	774.2	267.8	494.7	586.3
1415850_at	0.0377242269424799	0.00286704124762848	22	14	99.0656600442353	394.4	305.1	426.9	391.4	400.2	NA	610.9	NA	579.5	588.3	422	377.4	411.5	344.8	414.8	331.1	538.8	464.1	477.2	593.6	440.1	414.2	226.5	274.8
1415689_s_at	0.0482118989827419	0.00385695191861936	24	6	591.282690428191	3552.3	3156.5	3791.5	3506.7	3925	NA	2686	NA	2200.4	1780.6	2574.4	2386.7	3081.8	3521.8	3098	3662.8	3506.3	3449.3	3870.6	2944.2	2340.5	2542.2	3139.4	2941.2
1415828_a_at	0.0585482846661952	0.00515224905062518	28	24	12266.4641759555	76017.3	86749.5	63771.4	62086.4	46708.4	NA	67794	NA	65201.4	70584.8	77427.6	84098.6	86240	79899.1	72930.6	66083.9	80050.7	66417.1	58774.1	53040.6	59518.4	40507.9	88732.2	89147.5
1415688_at	0.0585482846661952	0.00515224905062518	20	17	1877.08566133781	16261.5	17022.5	16208.9	16527.3	14993.4	NA	20485.5	NA	22574.5	20313.5	19510.6	15762.7	15003.5	14585.7	14171.6	15490.3	15453.1	17126.9	15792.4	18685.7	16856.6	16267.6	14057.3	13264.1
1415792_at	0.0743012699479551	0.00683571683521186	22	20	157.455002500714	1794.6	1589.3	1603.4	1613.4	1566.9	NA	1707.4	NA	1673.6	2048.8	1805.7	1723.6	1742	1385.1	992.2	1357	1543.6	1471.8	1508.5	1613.6	1683.7	1775.1	1646.1	996.6
1415867_at	0.077666774337933	0.00900934582320023	26	21	869.069589417326	28711.6	30752.3	28441.9	26095.3	28417.1	NA	28971.7	NA	29456.4	29670.5	31891.4	30550.6	29322.6	29633.9	28706.7	26722.7	29444.7	28796.1	27558.1	27949.1	27782.9	35639.8	36144.5	32061.4
1415753_at	0.077666774337933	0.00900934582320023	26	19	771.665630308879	8447	7636	8428.7	6214.7	6853	NA	8224.1	NA	9393.8	9188.4	8721	8733.6	8286.2	6982.8	4967.9	6262.7	6735.3	7298.5	6297.6	7877.6	8175.4	7022.7	9718	7355.8
1415745_a_at	0.077666774337933	0.00900934582320023	24	7	352.280598387138	3987	4005.1	4141	4324	4343.6	NA	4148.1	NA	3646.9	3586.2	3846.6	4185.3	3825.1	4064.1	4185.6	4882.6	4617.6	3887.9	4749.6	3970.7	3389.7	3393.5	4204	3588.5
1415855_at	0.077666774337933	0.00900934582320023	26	19	231.577470838594	830.6	675.7	412.4	765.4	513.9	NA	561.6	NA	954.5	1031	1110.2	536.5	925.9	897.3	454.1	843.4	794.5	774	840.4	985.6	891.6	967.7	1168.8	1540.5
1415770_at	0.077666774337933	0.00900934582320023	20	16	117.309014998848	957.2	1138.9	1062.8	1038.9	1034.2	NA	1279.7	NA	1331.9	1206.5	1225.7	1040.6	976.7	953.6	1045.3	864.6	1050.6	1286.2	1192.9	1052.9	1091.3	1043.1	750.9	848.2
1415746_at	0.077666774337933	0.00900934582320023	28	5	33.9411254969542	355	316.6	388.7	374.2	583.3	NA	308.3	NA	311.4	284.7	291.6	311.6	314.1	270.3	316.3	302.8	415.3	324.4	245	301.2	314.8	267.7	225.8	146.3
1415723_at	0.0921716377147862	0.0117979696274926	28	11	3449.30223396704	20305.7	22668.8	25608.1	24474.6	32658	NA	25025.6	NA	27147.3	28193.7	23358	16515.5	18799.6	20571.9	22195.4	19302.3	21507	24039.5	26291.5	29463.2	26604.2	33997.8	21426.7	20246.9
1415743_at	0.0921716377147862	0.0117979696274926	26	6	282.312382388729	928.8	825.5	1107.8	943.3	1108	NA	655.6	NA	532.8	476.9	483.3	705.3	564.3	715.3	569	566.4	725.7	793.8	485.2	485.8	485.6	488.1	491.9	482.9
1415899_at	0.0921716377147862	0.0117979696274926	28	10	43.9643641202736	81.6	84.1	165.8	101.2	117.6	NA	384.4	NA	165.1	94.3	56	71.2	79.3	62.7	75.4	48.3	132.8	109.4	208.4	267.4	171.1	92.1	49.9	50.7
1415706_at	0.106620872279189	0.0153534056082032	26	6	1100.84151462074	25064.7	24524	28173.8	27685.2	27545.8	NA	24885.1	NA	23490.4	26355.3	23144.2	23320.7	26474.3	25112.4	23500.8	23084.2	28656.9	27494.6	25735.2	24698.2	23675.6	21377.7	11428.9	17644.1
