"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"TTC9",-1.72411462026774,7.36825810407317,-13.6387342537693,5.89502042699334e-17,8.63177110841053e-13,28.1897687153262
"AQP3",-1.57612027549999,7.42424353339024,-13.4655995355995,9.11582121492294e-17,8.63177110841053e-13,27.7776089411391
"GSTA3",-2.05299910610645,6.5067792964878,-12.4651296046525,1.21518865775073e-15,7.67108093349447e-12,25.3175660118916
"ATP12A",-2.49158829878387,7.53714005263415,-12.2646262857802,2.07276115324246e-15,9.81348768002643e-12,24.808182362767
"CLIC6",-3.41288520136129,7.86278765056098,-12.1303730768315,2.97207593819661e-15,1.04851317437123e-11,24.4640062142131
"MUC16",-3.5219860091742,7.19745386807317,-12.0890861987908,3.32193423076743e-15,1.04851317437123e-11,24.3576596111349
"CLDN10",-2.73764185570645,7.45124300497561,-11.8480316620362,6.38932431733162e-15,1.72858605602323e-11,23.7320196996979
"CAPN5",-1.01122527298064,7.18442700290244,-11.3987587868009,2.20556754302714e-14,5.221129766231e-11,22.5442875427222
"DUOX1",-2.29483249533871,6.53161799192683,-11.1470735929508,4.46573310813116e-14,9.39689484464309e-11,21.866525367634
"MUC4",-4.79302011503226,7.30248672231707,-10.9185415591218,8.5343651407202e-14,1.61623807034959e-10,21.24339035262
"SPATA4",-0.886276231474192,7.09643416673171,-10.7524017358317,1.37247879370718e-13,2.36290939956605e-10,20.7857678228154
"SMIM5",-1.41903853698387,7.3891772087561,-10.6729468748318,1.72477848976501e-13,2.72198791993081e-10,20.5655435770713
"CHST6",-1.66070272379354,6.58153337763415,-10.5816623728823,2.24477924573857e-13,3.27012533506132e-10,20.311438442488
"TPPP3",-3.43689446735806,6.970264769,-10.4991508822154,2.85114425710969e-13,3.78320589240258e-10,20.0807505676674
"MFSD4A",-2.24623301544193,6.23002197734146,-10.4820281617416,2.99651961062619e-13,3.78320589240258e-10,20.0327591440773
"TYMS",2.21831766772258,10.7595500306341,10.3700035843293,4.15266618856732e-13,4.915199517443e-10,19.7177680575752
"C1orf194",-1.64484946373226,7.194708416,-10.3205861721591,4.79803488639556e-13,5.10578027200139e-10,19.5782602897107
"ROPN1L",-2.95178698703548,6.30077364168293,-10.3167017825344,4.85289074326882e-13,5.10578027200139e-10,19.5672800709288
"VWA5A",-1.34493104397742,8.44610276426829,-10.2150263514268,6.53930842518373e-13,6.51796962926997e-10,19.2791235251572
"TMC5",-3.45847395241935,6.18163777487805,-10.0065689940576,1.21033074670474e-12,1.14606218405472e-09,18.6838693860112
"MUC1",-2.73587481068387,8.29024634870732,-9.95003387001683,1.43163936077315e-12,1.21768122891178e-09,18.5214023418099
"PIH1D3",-1.81955260459355,6.001120265,-9.93964280408377,1.47658081588734e-12,1.21768122891178e-09,18.491493573938
"ALDH3A1",-3.27493132583871,6.78911534417073,-9.93912419724183,1.47886092855481e-12,1.21768122891178e-09,18.490000473098
"C19orf33",-4.07972931761936,6.52067414670732,-9.83784147958534,2.00024689831125e-12,1.5783614900091e-09,18.1976982519898
"FUT2",-1.53761324215806,7.81313137778049,-9.76636014435802,2.47735640759439e-12,1.8766470258809e-09,17.9905637910293
"TP53INP2",-1.90776882700322,8.28649758509756,-9.74259630520258,2.66033693838641e-12,1.93774849766007e-09,17.9215491775374
"UPK1B",-4.34615436399999,8.7281613197561,-9.70280524377615,2.99796521839794e-12,2.00723993786398e-09,17.8058179521304
"KRT4",-3.9970014697129,8.78629081763415,-9.69972350283062,3.02586101984059e-12,2.00723993786398e-09,17.7968458945499
"ADH7",-2.61596720250645,6.85083485929268,-9.69450372894445,3.07371201806185e-12,2.00723993786398e-09,17.7816463385562
"SLC16A5",-1.75798238440322,6.75986494241463,-9.62642295129491,3.77290464046771e-12,2.37410469524516e-09,17.5830656409961
"ZBTB7C",-1.04499778754193,7.33241457941463,-9.61660937646943,3.88622059101277e-12,2.37410469524516e-09,17.5543898095837
"SRGAP3-AS2",-2.90313034747419,6.69984275378049,-9.56284478745876,4.57118691022867e-12,2.58448755671806e-09,17.3970583909679
"PHYHD1",-0.989077197100002,6.3155368597561,-9.55368859729088,4.69949398033785e-12,2.58448755671806e-09,17.3702262322423
"MUC20",-2.7149835596,7.52090388009756,-9.54717219579423,4.79302752262409e-12,2.58448755671806e-09,17.3511231671456
"DNALI1",-3.0514166001129,6.72843966663415,-9.546360480545,4.80480993912817e-12,2.58448755671806e-09,17.3487431993997
"C11orf88",-2.31228167744839,6.16205445929268,-9.53900298634136,4.91295554133754e-12,2.58448755671806e-09,17.3271668645611
"SERPINB2",-3.32957160685162,7.78327712736585,-9.50665765159228,5.41844051474163e-12,2.7733628775183e-09,17.2322268346796
"ADSSL1",-1.87428053735806,6.16840005621951,-9.46992787259466,6.05674531035715e-12,2.94432450055728e-09,17.124249618079
"PIFO",-2.56621668822903,7.54908632519512,-9.46956600847543,6.06339927773439e-12,2.94432450055728e-09,17.1231849329506
"TMEM45B",-2.24619273816129,7.32374154719512,-9.45810119719512,6.27809474254739e-12,2.97236395585906e-09,17.0894439511346
"CXCL10",2.9184559121742,10.6835219096098,9.428420200928,6.87041486531597e-12,3.17346138339887e-09,17.0020122155011
"CGN",-1.41664347717097,7.67166396743902,-9.39019115216276,7.71763282330026e-12,3.47991739065858e-09,16.8892297646849
"SLC22A16",-1.74068227863871,7.0769816834878,-9.38067371756894,7.94454305346857e-12,3.49892456619972e-09,16.8611218656368
"ANXA11",-1.3323666048387,9.9814037617561,-9.35019069448903,8.71783839743381e-12,3.73969739381536e-09,16.7710164533764
"SMIM22",-1.20945704174839,6.36386486582927,-9.34391882566039,8.88617503018753e-12,3.73969739381536e-09,16.7524622581296
"ZMYND12",-1.67130053302581,6.62870990112195,-9.28575549610055,1.06130930136302e-11,4.36936424982887e-09,16.580152723819
"SLC44A4",-2.33634013862258,6.53280681687805,-9.27469757233368,1.09780579517713e-11,4.42345662746052e-09,16.5473438410068
"MGLL",-1.09518031760323,7.76317451573171,-9.24421659893779,1.20512992227707e-11,4.75473968085066e-09,16.4568248944611
"BCAS1",-1.92634420016452,5.8051252517561,-9.21791048141043,1.30627098370577e-11,5.04860405906529e-09,16.3786076599146
"DRC1",-1.89927641574516,8.07805081653659,-9.16210516125052,1.5502457694933e-11,5.87171087653281e-09,16.212384940532
"C7orf57",-3.68919231398709,4.36629536902439,-9.14260432373251,1.64598596851626e-11,6.11209456309037e-09,16.1542055325198
"UBXN10",-1.14458954694839,6.73255991663415,-9.11811924321423,1.7747273804775e-11,6.39020284096666e-09,16.0810874236761
"USP2",-0.825086202706451,6.61443915643902,-9.11563146406936,1.78836598675273e-11,6.39020284096666e-09,16.0736540773926
"C9orf24",-3.99515136256129,8.10609294143902,-9.09998819347544,1.87659240166854e-11,6.52336479775019e-09,16.0268948663626
"SLC2A10",-2.10994779660968,6.19604893709756,-9.09689987193618,1.89452457427532e-11,6.52336479775019e-09,16.0176599172053
"CFAP45",-2.46284546514839,7.23713860834146,-9.06699488364982,2.07740129702025e-11,7.0253260291017e-09,15.9281732270242
"ATP6V0A4",-1.3130911936129,5.74094200417073,-9.0460045886574,2.21634880296361e-11,7.29246627886515e-09,15.8652951977942
"LOC101928817",-2.8897532975871,7.60747337407317,-9.04351966521159,2.23340925216062e-11,7.29246627886515e-09,15.8578477503544
"CXCL11",3.73483635856129,8.12165001195122,9.03638482196956,2.28313676312788e-11,7.32848203730776e-09,15.8364599347763
"VSIG2",-1.37874823583871,6.09495302768293,-8.99584799420731,2.58772147936491e-11,8.16369326490829e-09,15.7148232995242
"C11orf16",-1.01614779329032,8.11546368490244,-8.99066119120239,2.62955586207311e-11,8.16369326490829e-09,15.699244717896
"CEACAM5",-3.52321880546774,8.61999641390244,-8.97089591363176,2.79534836787894e-11,8.53843667595022e-09,15.6398489000459
"DHRS9",-2.91946911625806,9.50013705185366,-8.94258862316476,3.05140521167142e-11,9.17262093629099e-09,15.5546992500451
"DNAJB13",-1.16247384587096,7.02065254243902,-8.92411792771581,3.23116267950535e-11,9.56121231632381e-09,15.4990850106523
