"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"hsa05146","hsa05146","Amoebiasis","10/144","102/7913",1.48708645508443e-05,0.00304852723292307,0.00283329103547664,"COL1A1/COL3A1/COL4A1/COL4A2/FN1/LAMB1/CXCL1/SERPINB13/SERPINB3/SERPINB6",10
"hsa04657","hsa04657","IL-17 signaling pathway","9/144","93/7913",4.47378598088137e-05,0.0045856306304034,0.00426186980283962,"CCL2/CXCL10/MMP1/MMP3/PTGS2/CXCL1/LCN2/S100A8/S100A9",9
"hsa04512","hsa04512","ECM-receptor interaction","8/144","88/7913",0.000186396824108635,0.01273711631409,0.0118378333907589,"COL1A1/COL4A1/COL4A2/FN1/FRAS1/HMMR/LAMB1/SPP1",8
"hsa04974","hsa04974","Protein digestion and absorption","8/144","95/7913",0.000316743982775945,0.0162331291172672,0.0150870160216963,"COL15A1/COL1A1/COL22A1/COL3A1/COL4A1/COL4A2/COL5A2/KCNE3",8
"hsa04610","hsa04610","Complement and coagulation cascades","7/144","79/7913",0.000554671279562449,0.0227415224620604,0.0211358950738533,"PLAU/CD55/CFB/CLU/CR2/F3/SERPINB2",7
"hsa05222","hsa05222","Small cell lung cancer","7/144","92/7913",0.00137787588181573,0.0470774259620375,0.0437536025629206,"CCNE2/CKS2/COL4A1/COL4A2/FN1/LAMB1/PTGS2",7
"hsa04061","hsa04061","Viral protein interaction with cytokine and cytokine receptor","7/144","100/7913",0.00223213844121809,0.051450638992708,0.0478180521575361,"CCL2/CCL8/CXCL10/CXCL11/CXCL9/CXCL1/CXCL14",7
"hsa04933","hsa04933","AGE-RAGE signaling pathway in diabetic complications","7/144","100/7913",0.00223213844121809,0.051450638992708,0.0478180521575361,"CCL2/COL1A1/COL3A1/COL4A1/COL4A2/FN1/F3",7
"hsa00512","hsa00512","Mucin type O-glycan biosynthesis","4/144","31/7913",0.00225880854114328,0.051450638992708,0.0478180521575361,"GALNT11/GALNT12/GCNT3/ST6GALNAC1",4
"hsa04060","hsa04060","Cytokine-cytokine receptor interaction","13/144","294/7913",0.00263676068127326,0.0540535939661019,0.0502372298221538,"CCL2/CCL8/CXCL10/CXCL11/CXCL9/GHR/TNFSF15/TNFSF4/CXCL1/CXCL14/CXCL17/IL33/TNFRSF19",13
"hsa05204","hsa05204","Chemical carcinogenesis","6/144","82/7913",0.00368374340157472,0.0673411194831339,0.0625866116890744,"PTGS2/ADH1C/ADH7/ALDH1A3/ALDH3A1/GSTA3",6
"hsa00350","hsa00350","Tyrosine metabolism","4/144","36/7913",0.00394191918925662,0.0673411194831339,0.0625866116890744,"ADH1C/ADH7/ALDH1A3/ALDH3A1",4
"hsa05202","hsa05202","Transcriptional misregulation in cancer","9/144","186/7913",0.00674090005316278,0.106298808530644,0.0987937578641671,"BCL2A1/CCND2/GZMB/MMP3/PLAU/LMO2/MLF1/PAX5/PROM1",9
"hsa00982","hsa00982","Drug metabolism - cytochrome P450","5/144","72/7913",0.00981016819997839,0.143648891499683,0.133506800315495,"ADH1C/ADH7/ALDH1A3/ALDH3A1/GSTA3",5
"hsa00980","hsa00980","Metabolism of xenobiotics by cytochrome P450","5/144","76/7913",0.0122295909216756,0.167137742596233,0.155337260127949,"ADH1C/ADH7/ALDH1A3/ALDH3A1/GSTA3",5
"hsa00920","hsa00920","Sulfur metabolism","2/144","10/7913",0.0134483013632553,0.172306361216709,0.160140957022975,"PAPSS2/SELENBP1",2
"hsa00410","hsa00410","beta-Alanine metabolism","3/144","33/7913",0.0216158808596735,0.260662092719593,0.242258478984577,"GAD1/ALDH1A3/ALDH3A1",3
"hsa04110","hsa04110","Cell cycle","6/144","124/7913",0.0253498536369462,0.288706666420776,0.268323012180542,"BUB1B/CCND2/CCNE2/CDK1/MAD2L1/PRKDC",6
"hsa05150","hsa05150","Staphylococcus aureus infection","5/144","96/7913",0.0303967858199944,0.327965320689413,0.304809874427644,"CFB/KRT13/KRT14/KRT23/KRT24",5
"hsa00830","hsa00830","Retinol metabolism","4/144","67/7913",0.0333431209360457,0.341111877468224,0.317028240419761,"ADH1C/ADH7/ALDH1A1/DHRS9",4
"hsa00010","hsa00010","Glycolysis / Gluconeogenesis","4/144","68/7913",0.0349431679357693,0.341111877468224,0.317028240419761,"ADH1C/ADH7/ALDH1A3/ALDH3A1",4
"hsa00360","hsa00360","Phenylalanine metabolism","2/144","17/7913",0.0374092891524581,0.348586558011542,0.323975183569135,"ALDH1A3/ALDH3A1",2
"hsa04115","hsa04115","p53 signaling pathway","4/144","72/7913",0.0417837560827674,0.372420434650753,0.346126308969377,"CCND2/CCNE2/CDK1/PMAIP1",4
"hsa01524","hsa01524","Platinum drug resistance","4/144","73/7913",0.0436042026783129,0.372452564543923,0.346156170384853,"BIRC5/PMAIP1/TOP2A/GSTA3",4
"hsa05412","hsa05412","Arrhythmogenic right ventricular cardiomyopathy (ARVC)","4/144","77/7913",0.0513266526961975,0.418941879661137,0.38936318469148,"CACNA2D1/DMD/DSG2/GJA1",4
"hsa04668","hsa04668","TNF signaling pathway","5/144","112/7913",0.0531752049576418,0.418941879661137,0.38936318469148,"CCL2/CXCL10/MMP3/PTGS2/CXCL1",5
"hsa04062","hsa04062","Chemokine signaling pathway","7/144","189/7913",0.0567250207036244,0.418941879661137,0.38936318469148,"CCL2/CCL8/CXCL10/CXCL11/CXCL9/CXCL1/CXCL14",7
"hsa04151","hsa04151","PI3K-Akt signaling pathway","11/144","354/7913",0.0575657662109764,0.418941879661137,0.38936318469148,"ANGPT2/CCND2/CCNE2/COL1A1/COL4A1/COL4A2/FN1/GHR/LAMB1/NTRK2/SPP1",11
"hsa04913","hsa04913","Ovarian steroidogenesis","3/144","49/7913",0.059264948830112,0.418941879661137,0.38936318469148,"PTGS2/STAR/AKR1C3",3
"hsa00340","hsa00340","Histidine metabolism","2/144","23/7913",0.0648626176760295,0.443227887452868,0.411934519275836,"ALDH1A3/ALDH3A1",2
"hsa04510","hsa04510","Focal adhesion","7/144","199/7913",0.0706929276930569,0.467485489583118,0.434479453733219,"CCND2/COL1A1/COL4A1/COL4A2/FN1/LAMB1/SPP1",7
"hsa04540","hsa04540","Gap junction","4/144","88/7913",0.0761441597971826,0.484595787532674,0.450381707539995,"CDK1/GJA1/TUBB2A/TUBB4B",4
"hsa05165","hsa05165","Human papillomavirus infection","10/144","330/7913",0.0780081023833085,0.484595787532674,0.450381707539995,"CCND2/CCNE2/COL1A1/COL4A1/COL4A2/FN1/FZD7/LAMB1/PTGS2/SPP1",10
"hsa04926","hsa04926","Relaxin signaling pathway","5/144","129/7913",0.0859101675196287,0.517987774750702,0.481416109010922,"COL1A1/COL3A1/COL4A1/COL4A2/MMP1",5
"hsa05323","hsa05323","Rheumatoid arthritis","4/144","93/7913",0.0891011674398623,0.521878266433479,0.485031918995942,"CCL2/MMP1/MMP3/CXCL1",4
"hsa04915","hsa04915","Estrogen signaling pathway","5/144","138/7913",0.106708674711219,0.603879957362113,0.56124401685516,"CALML4/KRT13/KRT14/KRT23/KRT24",5
