"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"hsa04512","hsa04512","ECM-receptor interaction","8/62","88/7913",3.51187902920722e-07,4.63568031855353e-05,3.88155050596587e-05,"COL1A1/COL4A1/COL4A2/FN1/FRAS1/HMMR/LAMB1/SPP1",8
"hsa05222","hsa05222","Small cell lung cancer","7/62","92/7913",6.66824079356635e-06,0.000363359637262429,0.00030424850010012,"CCNE2/CKS2/COL4A1/COL4A2/FN1/LAMB1/PTGS2",7
"hsa04974","hsa04974","Protein digestion and absorption","7/62","95/7913",8.25817357414612e-06,0.000363359637262429,0.00030424850010012,"COL15A1/COL1A1/COL22A1/COL3A1/COL4A1/COL4A2/COL5A2",7
"hsa04151","hsa04151","PI3K-Akt signaling pathway","11/62","354/7913",8.00969454171886e-05,0.00264319919876722,0.00221320507073811,"ANGPT2/CCND2/CCNE2/COL1A1/COL4A1/COL4A2/FN1/GHR/LAMB1/NTRK2/SPP1",11
"hsa04933","hsa04933","AGE-RAGE signaling pathway in diabetic complications","6/62","100/7913",0.000121558814605068,0.00298442120244672,0.00249891727477596,"CCL2/COL1A1/COL3A1/COL4A1/COL4A2/FN1",6
"hsa05146","hsa05146","Amoebiasis","6/62","102/7913",0.000135655509202124,0.00298442120244672,0.00249891727477596,"COL1A1/COL3A1/COL4A1/COL4A2/FN1/LAMB1",6
"hsa05165","hsa05165","Human papillomavirus infection","10/62","330/7913",0.000215832132127021,0.00406997734868097,0.00340787577042665,"CCND2/CCNE2/COL1A1/COL4A1/COL4A2/FN1/FZD7/LAMB1/PTGS2/SPP1",10
"hsa04110","hsa04110","Cell cycle","6/62","124/7913",0.000393619758582885,0.00649472601661761,0.00543816771726355,"BUB1B/CCND2/CCNE2/CDK1/MAD2L1/PRKDC",6
"hsa04657","hsa04657","IL-17 signaling pathway","5/62","93/7913",0.000767784786075714,0.0112608435291105,0.00942893596935088,"CCL2/CXCL10/MMP1/MMP3/PTGS2",5
"hsa04510","hsa04510","Focal adhesion","7/62","199/7913",0.000872526510736697,0.0115173499417244,0.00964371406603718,"CCND2/COL1A1/COL4A1/COL4A2/FN1/LAMB1/SPP1",7
"hsa04061","hsa04061","Viral protein interaction with cytokine and cytokine receptor","5/62","100/7913",0.00106662957259678,0.0127995548711613,0.0107173306337475,"CCL2/CCL8/CXCL10/CXCL11/CXCL9",5
"hsa04060","hsa04060","Cytokine-cytokine receptor interaction","8/62","294/7913",0.00194761141079805,0.0214237255187785,0.0179385261520873,"CCL2/CCL8/CXCL10/CXCL11/CXCL9/GHR/TNFSF15/TNFSF4",8
"hsa04115","hsa04115","p53 signaling pathway","4/62","72/7913",0.00236116323089695,0.0239748881906459,0.0200746671452777,"CCND2/CCNE2/CDK1/PMAIP1",4
"hsa05412","hsa05412","Arrhythmogenic right ventricular cardiomyopathy (ARVC)","4/62","77/7913",0.0030168102497063,0.0284442109258023,0.0238169230239971,"CACNA2D1/DMD/DSG2/GJA1",4
"hsa04926","hsa04926","Relaxin signaling pathway","5/62","129/7913",0.00327932530285161,0.0288580626650942,0.0241634495999592,"COL1A1/COL3A1/COL4A1/COL4A2/MMP1",5
"hsa04620","hsa04620","Toll-like receptor signaling pathway","4/62","104/7913",0.00876386924320305,0.0723019212564252,0.0605398862194947,"CXCL10/CXCL11/CXCL9/SPP1",4
"hsa04668","hsa04668","TNF signaling pathway","4/62","112/7913",0.0113023113946753,0.0877591237704202,0.0734825199034619,"CCL2/CXCL10/MMP3/PTGS2",4
"hsa05202","hsa05202","Transcriptional misregulation in cancer","5/62","186/7913",0.014920502799875,0.109417020532417,0.0916171224553731,"BCL2A1/CCND2/GZMB/MMP3/PLAU",5
"hsa04062","hsa04062","Chemokine signaling pathway","5/62","189/7913",0.0158923316763304,0.110409883225032,0.0924484668152184,"CCL2/CCL8/CXCL10/CXCL11/CXCL9",5
"hsa01524","hsa01524","Platinum drug resistance","3/62","73/7913",0.0193168170953545,0.127490992829339,0.106750831316433,"BIRC5/PMAIP1/TOP2A",3
