"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"CLDN1",4.92020816326531,6.45100918367347,39.2596642199066,6.16071183976623e-95,1.23417540286037e-90,206.165160533877
"KIAA1199",4.6993806122449,5.85684642857143,37.5553513148012,1.35817984124483e-91,1.36042083798289e-87,198.536696616515
"ETV4",3.29704693877551,5.56677857142857,37.1758121393346,7.8194453240514e-91,5.22156493922406e-87,196.801072321881
"CDH3",3.59238469387755,5.91144132653061,36.3773126004411,3.24939442531839e-89,1.62737796306008e-85,193.1044382955
"SLC6A6",3.30373469387755,6.54274387755102,36.3138139274252,4.3818065639298e-89,1.75561461790411e-85,192.80781392377
"GUCA2B",-6.54731632653061,7.0207887755102,-35.7275342778794,7.0561486352982e-88,2.12856285264472e-84,190.050316608498
"UGP2",-1.61133877551021,11.2845846938776,-35.7164922164151,7.43769778291472e-88,2.12856285264472e-84,189.998054203531
"CA7",-4.651,5.13979387755102,-35.6422986504898,1.05985473885635e-87,2.65400874793867e-84,189.646577824475
"OTOP2",-5.15750918367347,5.3260862244898,-34.768816707479,7.1425048251581e-86,1.58984221291547e-82,185.466871606366
"FOXQ1",5.66009387755102,6.3678387755102,34.3810339152514,4.74609055721853e-85,9.50784321327588e-82,183.586276070666
"GTF2IRD1",2.37282346938775,5.76385969387755,33.9401407479465,4.16468204708466e-84,7.58464322265881e-81,181.429113282838
"ABCA8",-4.28025102040816,5.92021632653061,-33.8770629351937,5.69170875878366e-84,9.50183346372609e-81,181.118823851922
"ABCG2",-5.50931632653061,6.11063163265306,-33.7489478680418,1.07480769749112e-83,1.65627866183382e-80,180.487313061573
"TMIGD1",-6.92871530612245,6.60191173469388,-32.8439659201269,1.0066498888219e-81,1.44044408734066e-78,175.976550582974
"AQP8",-6.6166581632653,7.11546071428571,-32.2253858487562,2.35676198126417e-80,3.147534184711e-77,172.842239840185
"ZNF611",-3.11100408163265,4.65075714285714,-31.032398639848,1.16081525235727e-77,1.45341324690458e-74,166.677324703809
"PPM1H",2.57283979591837,5.36708418367347,30.83093629894,3.35925877084004e-77,3.95859005624933e-74,165.620345450445
"TRIB3",3.38060102040817,5.91714540816327,30.6593734263263,8.33307831064541e-77,9.2742532109533e-74,164.716564104561
"BEST4",-4.16730306122449,5.42174336734694,-30.3337415427326,4.71731895656586e-76,4.97379213983599e-73,162.99181689036
"BMP3",-3.35451326530612,3.83975867346939,-30.1045499313444,1.60977938843099e-75,1.6124355244219e-72,161.770496071988
"NFE2L3",2.95625510204082,7.01280408163265,29.8487232317101,6.38104136039076e-75,6.08720959870038e-72,160.399992211989
"SFRP1",-4.85520714285714,5.37544132653061,-29.7111021831997,1.3428032447507e-74,1.22274442736776e-71,159.659555375091
"GCNT2",-2.62454591836735,6.2456443877551,-29.633098891072,2.04918447511184e-74,1.78483967782241e-71,159.238886280374
"ASCL2",3.63131836734694,7.57384897959184,29.40205653009,7.19634834748262e-74,6.0068519352133e-71,157.988660274767
"CA1",-7.71733673469388,8.44157755102041,-29.0468015781467,5.02613557191124e-73,4.02754295648392e-70,156.053910940823
"GLTP",-1.55962040816327,9.4641306122449,-29.0283422937891,5.56252285932148e-73,4.2859238631072e-70,155.952968233862
"SCARA5",-4.1531030612245,5.72356785714286,-28.8872528259058,1.20904266378822e-72,8.97064877172941e-70,155.180086001949
"TMEM100",-3.28448571428572,5.25543673469388,-28.7877742237359,2.09308673416304e-72,1.44850311950473e-69,154.633709653491
"PLP1",-3.97352448979591,4.52932653061224,-28.7874472653313,2.09686968829617e-72,1.44850311950473e-69,154.631911904505
"AHCY",1.8732418367347,9.10897908163265,28.6774288129548,3.85271036316518e-72,2.57271155684293e-69,154.026255008838
"ADH1B",-5.80925204081632,6.79452908163265,-28.6617077390251,4.20309819301169e-72,2.7161505193743e-69,153.939590582129
"HIGD1A",-2.44103673469388,8.01906020408163,-28.5823404348806,6.52548574674413e-72,4.08515799889141e-69,153.501612630387
"SLC17A4",-3.84681020408163,5.07450204081633,-28.3673282399158,2.15677747165404e-71,1.30929463908016e-68,152.311267536419
"RELL1",-1.59251836734694,9.43968979591837,-28.2229077577556,4.82935767906042e-71,2.84548595248875e-68,151.508581211923
"CLEC3B",-4.01968877551021,6.74239846938776,-28.1852316452625,5.96207581575775e-71,3.41252185191643e-68,151.298760767339
"TMEM206",1.79711224489796,5.98669591836735,27.8843123804778,3.228042175899e-70,1.79631580304957e-67,149.61670708965
"GFRA2",-2.15911326530612,3.75694744897959,-27.8456157513942,4.01433397238445e-70,2.17349060726426e-67,149.399600092825
"SLC7A5",2.92214183673469,5.40983928571429,27.7747433023795,5.98704685703582e-70,3.15627657071049e-67,149.001494886256
"MTHFD1L",2.3120193877551,6.85790459183673,27.6448971176753,1.24724564898267e-69,6.40668515027431e-67,148.270521680209
"HEATR1",1.27097142857142,6.81912346938775,27.5836007825776,1.76493204140961e-69,8.83922089638967e-67,147.924731483888
"RNF152",-2.36498163265306,4.33406224489796,-27.5713290156417,1.89207252409172e-69,9.0359224320343e-67,147.855447341476
"GREM2",-3.8879693877551,5.03362142857143,-27.5711104937155,1.89441792115729e-69,9.0359224320343e-67,147.854213438687
"JUB",2.56261122448979,4.37320459183673,27.436957761326,4.05737180089642e-69,1.89026347179902e-66,147.095597222539
"GUCA2A",-6.0477163265306,9.32321020408163,-27.426604381968,4.30340143238005e-69,1.95931911124703e-66,147.03695790038
"SLCO4A1",3.05062551020408,6.09815663265306,27.4004189990808,4.99459704560694e-69,2.22348361365875e-66,146.88859041242
"DKC1",1.63434591836735,9.11865765306123,27.3061016765003,8.54681244211265e-69,3.72213681854006e-66,146.353482034095
"IL6R",-2.37487857142857,5.72457704081633,-27.2737901716481,1.02763441636634e-68,4.38012771554614e-66,146.169909948623
"XPOT",1.46546428571428,8.12039132653061,26.955787106169,6.34578326341758e-68,2.64843908575092e-65,144.35632467802
"NONO",0.84966020408163,11.2669198979592,26.9304002571485,7.3423762547048e-68,3.00183313286737e-65,144.211000801922
"DNAJC2",1.33925816326531,8.42819132653061,26.9208424901065,7.75704673159668e-68,3.10793834348152e-65,144.156267760838
"GNA11",-1.71412755102042,10.114262755102,-26.9081481486486,8.34437462507818e-68,3.27770307576845e-65,144.083555381964
"RDH5",-2.02047142857143,5.2798693877551,-26.8984888832101,8.82101289573212e-68,3.3982952180808e-65,144.028214281943
"CBX3",1.07822551020408,10.3563913265306,26.8459903848657,1.19323014343924e-67,4.51018480443741e-65,143.727229923956
"TEX10",1.43028979591836,6.30016734693878,26.709034783865,2.62846360699883e-67,9.75111322944585e-65,142.940418560899
"C2orf88",-4.23876224489796,6.93808928571429,-26.6875781063844,2.97527394378273e-67,1.08370296210544e-64,142.816937608202
"TP53INP2",-2.68251428571428,6.70552142857143,-26.681227042565,3.08648100488934e-67,1.10413346376693e-64,142.780376865054
"ATP11A",2.45471530612245,5.42801071428571,26.6706622017046,3.28079150500873e-67,1.15305431964631e-64,142.719547790961
"TGIF2",2.18142244897959,5.35450816326531,26.6405169733959,3.90542489195966e-67,1.34892029070048e-64,142.545904250379
"RUNDC3B",-2.81737755102041,5.35658469387755,-26.5505029153915,6.57610785909695e-67,2.23286726680151e-64,142.026726134327
"TNXA /// TNXB",-3.33789489795919,5.2190637755102,-26.4650586102281,1.07940321708103e-66,3.60394744129739e-64,141.532967107274
"BYSL",1.69426122448979,5.41119387755102,26.4447902430936,1.21420700226867e-66,3.98757522564726e-64,141.415707630949
"LIFR",-3.07836734693877,5.99845204081633,-26.3695575726394,1.88015627385881e-66,6.07502752164735e-64,140.980010448843
"ARMC10",1.29639795918368,8.47804897959184,26.344550768957,2.17461939199345e-66,6.91494448885789e-64,140.835030626041
"PHLPP2",-2.5511112244898,7.28648520408163,-26.2372725597003,4.06298665131807e-66,1.27177830602898e-63,140.212182218647
"HS2ST1",1.45387448979592,7.11290867346939,26.0609457337268,1.13862613838521e-65,3.50924575850322e-63,139.185300984016
"NOB1",1.35214897959184,8.13893469387755,26.0249550006945,1.4058398536585e-65,4.2671499679304e-63,138.975219635583
"CKAP2",1.91378571428571,6.82453265306122,26.0128948287608,1.50879655587287e-65,4.51130170205989e-63,138.904786770835
"MAMDC2",-3.47656530612245,5.56258163265306,-25.9581760923409,2.07967959762517e-65,6.12679726165073e-63,138.584992559438
"ZNF575",-1.98680408163265,4.99594387755102,-25.9535096713576,2.13741602184989e-65,6.2056311834375e-63,138.557703007826
"NAP1L2",-2.74200714285714,4.30324846938776,-25.9377684386221,2.34431059517829e-65,6.70908202188667e-63,138.46562694866
"NUFIP1",1.9068193877551,6.46518010204082,25.8995631125595,2.93400218310953e-65,8.27843179355398e-63,138.242020516583
"ZZEF1",-1.79522142857143,5.58191275510204,-25.8895624950738,3.11157837843446e-65,8.6575346743302e-63,138.183458953161
"C2orf40",-4.29763673469388,5.21167346938775,-25.8856270477065,3.18438078942828e-65,8.73872607597489e-63,138.160410322684
"WDR77",1.77276836734694,7.20621989795918,25.8128835105253,4.88467787328038e-65,1.32236151128954e-62,137.734023337069
"PLCD1",-2.32277244897959,6.28450969387755,-25.6482618360432,1.28941779315713e-64,3.4441208867089e-62,136.766625038884
"C13orf37",1.67846224489796,7.8187443877551,25.6459232587462,1.30735282164439e-64,3.44607882578974e-62,136.752857737306
"USP2",-2.64805510204081,4.86307755102041,-25.6013689343058,1.70115825484732e-64,4.42588354796837e-62,136.4904325108
"LYVE1",-3.61680408163265,5.14097346938776,-25.5856889126844,1.86644110614991e-64,4.79364290762834e-62,136.398017379493
"MYOT",-2.85064591836735,5.12863112244898,-25.5617609880762,2.15026486734446e-64,5.45269064398881e-62,136.256930707394
"HPGDS",-2.22073163265307,4.49510663265306,-25.5016383953224,3.06973885780613e-64,7.68700981730377e-62,135.902109072476
"ENC1",1.69615612244898,8.80954234693878,25.4967682726514,3.15961306587361e-64,7.81438624057359e-62,135.873347355843
"SCN9A",-1.86438469387755,3.38341275510204,-25.4911628832628,3.26632997871097e-64,7.9798034711606e-62,135.840239623321
"FAM107A",-2.92500408163265,5.69810204081633,-25.3343956896853,8.28346902580167e-64,1.99931006016729e-61,134.912696587748
"C17orf91",-2.35239591836735,6.54724693877551,-25.2712960032355,1.20576743239351e-63,2.87561178251656e-61,134.538476392796
"C20orf199",1.68173673469387,9.89246428571429,25.2272570872756,1.56743614122377e-63,3.69417037848655e-61,134.276999289536
"C11orf86",-3.86681122448979,5.28456173469388,-25.2199361446976,1.63734044119487e-63,3.81405128586708e-61,134.233508011796
"PDX1",2.92400102040817,4.59131581632653,25.2048771452247,1.79112574591055e-63,4.1243243756122e-61,134.144026148348
"SMPDL3A",-2.79608571428571,8.91426326530612,-25.1731206822868,2.16462512189414e-63,4.92771989396652e-61,133.955232243882
"CBFB",1.41472959183673,7.48532091836735,25.1230905957997,2.91799014775523e-63,6.56810074494163e-61,133.657541102868
"SMYD2",0.979630612244895,8.74002755102041,25.1018940807403,3.31189204603664e-63,7.37190370647245e-61,133.531320915144
"ADNP",1.08275918367347,9.42456326530612,25.0935458866055,3.48130039778645e-63,7.66383416141273e-61,133.481593761096
"LDHD",-3.29798163265306,5.70143265306122,-25.0463681860965,4.61582223360296e-63,1.00509529136704e-60,133.200407122931
"MACC1",2.64774591836734,5.45409948979592,25.0331276830599,4.99635015546458e-63,1.07625680284325e-60,133.121440833046
"LPAR1",-2.46841020408163,6.35080918367347,-25.0289226036276,5.12367108832689e-63,1.09194152034524e-60,133.096357104837
"KIAA1737",-1.44547959183674,6.75524081632653,-24.9871341985878,6.58014629850018e-63,1.38757969260899e-60,132.84696298408
"OSTBETA",-4.37141428571429,6.7252387755102,-24.9210026766039,9.78091321660806e-63,2.04105244237822e-60,132.451835435918
"CA4",-6.21160714285715,7.71378418367347,-24.8982718691843,1.12099599978597e-62,2.31514565605283e-60,132.315893428729
"CWH43",-3.8481193877551,4.80261785714286,-24.8769967492473,1.27368351636019e-62,2.60364304931058e-60,132.18859771727
"CCL14 /// CCL14-CCL15 /// CCL15",-2.47694183673469,6.20561683673469,-24.8483597087993,1.5126840349687e-62,3.06096962348767e-60,132.017162526363
"CPT1A /// RDH5",-2.14237040816327,4.786425,-24.8048109345756,1.96522048794992e-62,3.93692620351007e-60,131.756258747412
"SPPL2A",-1.86470408163266,9.35032142857143,-24.7842436714377,2.22396645939836e-62,4.41116040407202e-60,131.632955029571
"DHRS11",-2.33824693877551,7.58480306122449,-24.7218099302751,3.23841428318696e-62,6.36030915049846e-60,131.258326386171
"MIER1",-1.26555408163265,8.36547091836735,-24.6740889674544,4.31738241446191e-62,8.39709921445782e-60,130.97164646126
"TEAD4",2.27890612244898,6.12616326530612,24.6568437680965,4.79052032597101e-62,9.22773977790165e-60,130.867976063391
"SLC4A4",-5.58424795918368,7.86446887755102,-24.623848441954,5.84570669006751e-62,1.11530516306783e-59,130.669517582531
"MXI1",-1.72315408163266,10.2405484693878,-24.6148416942034,6.17229736603601e-62,1.16650597296037e-59,130.615320237115
"PPP2R3A",-1.85274285714286,6.66085918367347,-24.5963844900995,6.89991054034499e-62,1.2918309145302e-59,130.504223336586
"CSE1L",1.79208673469388,8.32292397959184,24.5936303620447,7.01562964444896e-62,1.30133433951154e-59,130.487642079299
"INHBA",3.28427040816326,5.19932397959184,24.5877311294875,7.27009097719712e-62,1.33616268391e-59,130.452122440926
"CPEB3",-1.56521938775511,6.32499948979592,-24.5314258018515,1.02169151801248e-61,1.8606860163949e-59,130.112881919366
"ACADS",-2.39293877551021,7.11621734693878,-24.4843370862176,1.3584474297487e-61,2.45169165406808e-59,129.828862019835
"MS4A12",-6.60750714285714,8.38298112244898,-24.4379401829709,1.7991478552861e-61,3.21806508794165e-59,129.54873899382
"HPGD",-3.97389591836735,7.73145408163265,-24.3910925747143,2.38998820516328e-61,4.23704723133061e-59,129.265616984071
"C7orf68",2.25955204081632,6.94010765306122,24.3424072364365,3.21136642489668e-61,5.64327224473291e-59,128.971092877089
"AHCYL2",-2.86272653061225,9.19915,-24.3311622690941,3.43827569550182e-61,5.98947626156417e-59,128.903023083675
"ENDOD1",-1.94947653061225,8.17149744897959,-24.3203193150006,3.67229916986804e-61,6.34199735085918e-59,128.837371585532
"OSBPL3",1.91200102040816,6.35205459183674,24.3167969353764,3.75171130630965e-61,6.42376347002574e-59,128.816041199306
"TGFBI",3.10898979591837,9.23618775510204,24.2580895565065,5.36028814665283e-61,9.10022478321153e-59,128.460296006567
"MET",1.7599612244898,8.37888571428571,24.2391578426242,6.01449014240338e-61,1.01250656321653e-58,128.345483265615
"PUS7",1.74189081632653,7.52503724489796,24.2191548700018,6.79298554165233e-61,1.13403232796601e-58,128.224124259636
"TMEM72",-2.7126387755102,4.68319897959184,-24.1866060057838,8.28179393658738e-61,1.37115023084012e-58,128.026539917804
"PHF16",1.71798979591837,6.32724489795918,24.1821896070948,8.50758823798935e-61,1.39698782927574e-58,127.999720265475
"PKIB",-4.66682448979592,8.00175918367347,-24.168422528292,9.25186565029757e-61,1.50493105490911e-58,127.916100416953
"RERGL",-3.30674081632653,3.94867653061224,-24.1673027559316,9.31520245638343e-61,1.50493105490911e-58,127.909297972223
"C20orf20",1.72055714285714,4.93301326530612,24.1587822479668,9.8116102945023e-61,1.57244791223812e-58,127.857531973203
"TEX11",-2.59866020408163,4.11572908163265,-24.0945725553584,1.45140134529022e-60,2.30761294842849e-58,127.467131567552
"NIT2",1.15729591836735,7.51048979591837,24.0903972810873,1.48885622559885e-60,2.34852415491511e-58,127.441727383652
"MMP28",-3.0837306122449,5.15493775510204,-24.0795915457962,1.59035605174075e-60,2.48903146754081e-58,127.37597029649
"RIPK2",1.65243163265306,6.48173724489796,24.0406889951926,2.0167966850052e-60,3.13197581323326e-58,127.139110212041
"CCDC68",-2.42494693877551,6.32822346938775,-24.0288554456719,2.16800647390161e-60,3.34089797628238e-58,127.067022883382
"TMEM161A",1.21889387755102,5.50147857142857,24.0092788184309,2.44354811957906e-60,3.73676331904788e-58,126.947727358035
"S100A11",1.89342346938775,9.69575663265306,23.9719923273632,3.06933860961158e-60,4.65818639139006e-58,126.720377112068
"SLC39A10",1.55541938775511,7.72208826530612,23.9352365787588,3.84356005157859e-60,5.78932620400555e-58,126.49608995914
"PYY",-3.96410408163265,5.21117857142857,-23.8873733723912,5.15293441348017e-60,7.70363694815286e-58,126.203766509743
"SCNN1B",-4.01554387755102,5.13727091836735,-23.860548825122,6.07386921358899e-60,9.01317199672802e-58,126.039808827022
"DDX21",1.29966632653062,9.96430357142857,23.8540126297826,6.32225050347296e-60,9.31276796588778e-58,125.999844265767
"PDCD2L",1.94990510204082,5.59123010204082,23.8470342081935,6.59869747068112e-60,9.64902966643466e-58,125.957169785209
"MT1JP /// MT1M /// MT1P3",-5.11805,6.67226173469388,-23.8167844727761,7.94432497867813e-60,1.15325117607144e-57,125.772114863222
"PLCE1",-2.43438367346938,5.86277959183673,-23.8114755698303,8.20743499353463e-60,1.18287442608258e-57,125.739625270859
"PRIMA1",-3.10671020408163,4.28118979591837,-23.7947015579696,9.09761081464506e-60,1.30180312464132e-57,125.636947599874
"RILP",-1.64413163265307,6.11445255102041,-23.7829285893046,9.77965547979781e-60,1.38947402997723e-57,125.564861131417
"WDR78",-2.72305102040816,4.51188469387755,-23.7714990604069,1.0490860830984e-59,1.48002404948663e-57,125.494860708797
"GTPBP4",1.34415816326531,7.15637704081633,23.730759597963,1.34753265126239e-59,1.88777074145031e-57,125.245215846798
"PRMT3",1.52928163265306,7.00344591836735,23.7189151248709,1.44933122181971e-59,2.01628141435516e-57,125.172595250796
"TNFRSF12A",2.49571530612245,6.4120443877551,23.6857161240618,1.77770623597602e-59,2.45605441553845e-57,124.968951200049
"PDE9A",-3.20704591836735,6.21879642857143,-23.6546142950983,2.15280339671939e-59,2.95391167441641e-57,124.77804425196
"ZDHHC9",1.73376836734694,8.42862908163265,23.6490856424999,2.22735596641891e-59,3.03541646770544e-57,124.744095822244
"ZNF593",1.40118265306122,6.75519846938776,23.6278628322929,2.53840699101273e-59,3.43593967911879e-57,124.613742103587
