#ID = transcript_cluster_id
#RANGE_STRAND = strand  (+|-)
#RANGE_START = start  (integer). Coordinates are standard 1-based (length=stop-start+1).
#RANGE_END = 
#total_probes = Total number of probes contained by this transcript cluster.
#GB_ACC = GenBank and RefSeq Accessions from mrna_assignment column
#SPOT_ID = genomic location of the transcript cluster in the version of the genome assembly used at annotation time. Coordinates are standard 1-based (length=stop-start+1).
#RANGE_GB = NCBI RefSeq for chromosome of current build
ID	RANGE_STRAND	RANGE_START	RANGE_END	total_probes	GB_ACC	SPOT_ID	RANGE_GB
16657436	+	12190	13639	25	NR_046018	chr1:12190-13639	NC_000001.10
16657440	+	29554	31109	28		chr1:29554-31109	NC_000001.10
16657445	+	69091	70008	8		chr1:69091-70008	NC_000001.10
16657447	+	160446	161525	13		chr1:160446-161525	NC_000001.10
16657450	+	317811	328581	36	NR_024368	chr1:317811-328581	NC_000001.10
16657469	+	329790	342507	27		chr1:329790-342507	NC_000001.10
16657473	+	367640	368634	25		chr1:367640-368634	NC_000001.10
16657476	+	459656	461954	27	NR_029406	chr1:459656-461954	NC_000001.10
16657480	+	523009	532878	12		chr1:523009-532878	NC_000001.10
16657485	+	557143	566063	13	XR_132471	chr1:557143-566063	NC_000001.10
16657489	+	696291	697369	12		chr1:696291-697369	NC_000001.10
16657492	+	714162	745440	22		chr1:714162-745440	NC_000001.10
16657502	+	721320	722513	16		chr1:721320-722513	NC_000001.10
16657506	+	752751	755214	22		chr1:752751-755214	NC_000001.10
16657509	+	756056	758975	17		chr1:756056-758975	NC_000001.10
16657514	+	762988	789791	29	NR_047526	chr1:762988-789791	NC_000001.10
16657527	+	840487	841186	23		chr1:840487-841186	NC_000001.10
16657529	+	846815	850735	20		chr1:846815-850735	NC_000001.10
16657534	+	860260	879961	22	NM_152486	chr1:860260-879961	NC_000001.10
16657554	+	895967	901099	28	NM_198317	chr1:895967-901099	NC_000001.10
16657572	+	901877	911245	29		chr1:901877-911245	NC_000001.10
16657594	+	948803	949920	22	NM_005101	chr1:948803-949920	NC_000001.10
16657598	+	955503	991499	34	NM_198576	chr1:955503-991499	NC_000001.10
16657647	+	1072397	1079436	23	NR_038869	chr1:1072397-1079436	NC_000001.10
16657650	+	1102484	1102578	10	NR_029639	chr1:1102484-1102578	NC_000001.10
16657652	+	1103243	1103332	21	NR_029834	chr1:1103243-1103332	NC_000001.10
16657654	+	1104385	1104467	25	NR_029957	chr1:1104385-1104467	NC_000001.10
16657656	+	1109264	1133315	32		chr1:1109264-1133315	NC_000001.10
16657680	+	1167629	1170421	23		chr1:1167629-1170421	NC_000001.10
16657683	+	1210339	1227409	19		chr1:1210339-1227409	NC_000001.10
16657713	+	1243947	1247057	21	NM_153339	chr1:1243947-1247057	NC_000001.10
16657730	+	1260136	1264277	25	NM_001029885	chr1:1260136-1264277	NC_000001.10
16657737	+	1266694	1270686	26		chr1:1266694-1270686	NC_000001.10
16657746	+	1317609	1318166	18		chr1:1317609-1318166	NC_000001.10
16657751	+	1334902	1337426	26	NR_015434	chr1:1334902-1337426	NC_000001.10
16657758	+	1355625	1358071	20		chr1:1355625-1358071	NC_000001.10
16657761	+	1361508	1363167	9	NM_001146685	chr1:1361508-1363167	NC_000001.10
16657764	+	1363502	1365634	15		chr1:1363502-1365634	NC_000001.10
16657767	+	1370241	1378262	25	NM_022834	chr1:1370241-1378262	NC_000001.10
16657777	+	1385069	1405538	14		chr1:1385069-1405538	NC_000001.10
